url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/neo-flush-valve-40-mm-dual-flush-round/,Neo Flush Valve-40 mm-Dual Flush (Round),F860036CP,Neo Flush Valve-40 mm-Dual Flush (Round),"₹4,040",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860036.png,
https://hindware.com/product/plus-conce-flush-valve-40mm-dual-flush-square/,Plus Conce. Flush Valve 40mm Dual Flush(square),F860050CP,,"₹4,040",['Chrome'],https://hindware.com/wp-content/uploads/2021/04/F860050.png,
https://hindware.com/product/neo-flush-valve-40-mm-dual-flush-square/,Neo Flush Valve-40 mm-Dual Flush (Square),F860042CP,Neo Flush Valve-40 mm-Dual Flush (Square),"₹4,040",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860042.png,
https://hindware.com/product/plus-conce-flush-valve-40mm-dual-flush-round/,Plus Conce. Flush Valve 40mm Dual Flush (Round),F860049CP,,"₹4,040",['Chrome'],https://hindware.com/wp-content/uploads/2021/04/F860049.png,
https://hindware.com/product/neo-flush-valve-40-mm-single-flush-square/,Neo Flush Valve-40 mm Single Flush (Square),F860040CP,Neo Flush Valve-40 mm Single Flush (Square),"₹3,950",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860040.png,
https://hindware.com/product/plus-flush-valve-40-mm-single-flushsquare/,Plus Flush Valve-40 mm Single Flush(Square),F860043CP,Plus Flush Valve-40 mm Single Flush(Square),"₹3,950",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860043.png,
https://hindware.com/product/neo-flush-valve-40-mm-single-flush-round/,Neo Flush Valve-40 mm Single Flush (Round),F860041CP,Neo Flush Valve-40 mm Single Flush (Round),"₹3,950",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860041.png,
https://hindware.com/product/plus-flush-valve-40-mm-single-flush-round/,Plus Flush Valve-40 mm Single Flush (Round),F860044CP,Plus Flush Valve-40 mm Single Flush (Round),"₹3,950",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860044.png,
https://hindware.com/product/neo-flush-valve-32-mm-dual-flush-square/,Neo Flush Valve-32 mm-Dual Flush (Square),F860038CP,Neo Flush Valve-32 mm-Dual Flush (Square),"₹3,850",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860038.png,
https://hindware.com/product/plus-conce-flush-valve-32mm-dual-flush-square/,Plus Conce. Flush Valve 32mm Dual Flush(square),F860048CP,Plus Conce. Flush Valve 32mm Dual Flush(square),"₹3,850",['Chrome'],https://hindware.com/wp-content/uploads/2021/04/F860048.png,
https://hindware.com/product/neo-flush-valve-32-mm-dual-flush-round/,Neo Flush Valve-32 mm-Dual Flush (Round),F860035CP,Neo Flush Valve-32 mm-Dual Flush (Round),"₹3,850",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860035.png,
https://hindware.com/product/neo-flush-valve-32-mm-dual-flush-square/,Neo Flush Valve-32 mm-Dual Flush (Square),F860038CP,Neo Flush Valve-32 mm-Dual Flush (Square),"₹3,850",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860038.png,
https://hindware.com/product/plus-flush-valve-32-mm-single-flush-round/,Plus Flush Valve -32 mm Single Flush (Round),F860046CP,Plus Flush Valve -32 mm Single Flush (Round),"₹3,700",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860046.png,
https://hindware.com/product/neo-flush-valve-32-mm-single-flush-square/,Neo Flush Valve-32 mm Single Flush (Square),F860039CP,Neo Flush Valve-32 mm Single Flush (Square),"₹3,700",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860039.png,
