url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/5-way-thermostat-divertor/,5 Way Thermostat Divertor,F860014,Showers with thermostatic divertors equipped for temperature control to deliver you a rejuvenating showering experience.,"₹36,000",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F860014-890x812-1.png,
https://hindware.com/product/thermostatic-valve-4-way-volume-control/,Thermostatic Valve 4 Way Volume Control,F500001CP,Showers with thermostatic divertors equipped for temperature control to deliver you a rejuvenating showering experience.,"₹35,000",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F500001CP-890x812-1.png,
https://hindware.com/product/concealef-body-4-way-single-lever-divertor/,Concealed Body 4 Way Single Lever Divertor,F500002CP,,"₹11,000",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F500002-890x812-1.png,
https://hindware.com/product/body-3-inlet-sl-con-mix-for-bath-shw-sys/,Body 3-Inlet SL CON. MIX FOR BATH & SHW.SYS,F850035CP,Body 3-Inlet SL CON. MIX FOR BATH & SHW.SYS,"₹4,600",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F850035.png,
https://hindware.com/product/body-hf-sl-concealed-divertor-bs-sys-w-o-knob/,Body HF-SL Concealed Divertor B&S SYS (W/O KNOB),F850091ACP,Addons – Body HF-SL Concealed Divertor B&S SYS (W/O KNOB),"₹3,950",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F850091ACP.png,
https://hindware.com/product/body-hf-sl-concealed-divertor-bs-sys-w-o-knob-eco/,Body HF-SL Concealed Divertor B&S SYS (W/O KNOB) ECO,F850091BCP,Addons – Body HF-SL Concealed Divertor B&S SYS (W/O KNOB) ECO,"₹3,650",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F850091BCP.png,
https://hindware.com/product/body-sl-concealed-divertor-bs-sys-w-o-knob/,Body-SL Concealed Divertor B&S SYS (W/O Knob),F850090ACP,Addons – Body-SL Concealed Divertor B&S SYS (W/O Knob),"₹3,100",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F850090ACP.png,
https://hindware.com/product/flora-plus-s-l-concealed-deusch-mixer/,Flora Plus S/L Concealed Deusch Mixer,F280046CP,"The Flora collection of faucets is inspired by the fluid and organic designs of nature. Finished in gentle curves, the Flora range of faucets mimics the elegant and soft lines displayed in a flower and the gracefulness with which it blooms. They are designed to make the water distribution in modern bathrooms a whole lot simpler and yet compact, thereby keeping the aesthetics of your bathroom a notch higher than others.","₹2,600",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F280046.png,
https://hindware.com/product/flora-deusch-mixer/,Flora Deusch Mixer,F280039CP,,"₹2,600",[],https://hindware.com/wp-content/uploads/2021/03/F280039.png,
https://hindware.com/product/body-single-lever-diverter-35-mm-suitable-only-with-f570050cp/,Body – Single Lever Diverter – 35 MM *Suitable only with F570050CP,F860065CP,,"₹2,450",['Chrome'],https://hindware.com/wp-content/uploads/2022/02/1-1.png,
