url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/bath-shower-mixer-with-provision-of-overhead-shower-in-chrome-black/,BATH & SHOWER MIXER WITH PROVISION OF OVERHEAD SHOWER IN CHROME BLACK,F360019GRT,,"₹23,300",['Chrome Black'],https://hindware.com/wp-content/uploads/2022/04/F360019GRT-01.png,
https://hindware.com/product/bath-shower-mixer-with-provision-of-overhead-shower-in-rose-gold/,BATH & SHOWER MIXER WITH PROVISION OF OVERHEAD SHOWER IN ROSE GOLD,F360019RGD,,"₹17,700",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360019RGD-01.png,
https://hindware.com/product/bath-shower-mixer-with-provision-of-overhead-shower-in-gold/,BATH & SHOWER MIXER WITH PROVISION OF OVERHEAD SHOWER IN GOLD,F360019PGD,,"₹16,300",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F360019PGD-01.png,
https://hindware.com/product/splendid-duo-3-way-single-lever-basin-mixer/,Splendid Duo – 3 Way Single Lever Basin Mixer,F430005,,"₹13,130",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F430005-group-img.png,
https://hindware.com/product/splendid-duo-high-flow-single-lever-basin-mixer/,Splendid Duo – High Flow Single Lever Basin Mixer,F430003,,"₹12,590",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F430003-group-img.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-chrome-black-2/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN CHROME BLACK,F410012GRT,,"₹12,500",['Chrome Black'],https://hindware.com/wp-content/uploads/2022/04/F410012GRT-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-chrome-black/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN CHROME BLACK,F520012GRT,,"₹11,600",['Chrome Black'],https://hindware.com/wp-content/uploads/2022/04/F520012GRT-01.png,
https://hindware.com/product/splendid-duo-single-lever-basin-mixer/,Splendid Duo-Single Lever Basin Mixer,F430001,,"₹11,540",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F430001-group-img-1.png,
https://hindware.com/product/splendid-duo-3-way-pillar-cock/,Splendid Duo – 3 Way Pillar Cock,F430006,,"₹11,540",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F430006-group-img-1.png,
https://hindware.com/product/tall-body-sensor-tap-immacula-ac-dc/,Tall Body Sensor Tap IMMACULA (AC & DC),F240006CP,"Innovative, hands-free and easy-to-use, Sensor faucets are a must-have for the modern home.","₹11,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F240006CP.png,
https://hindware.com/product/splendid-duo-high-flow-pillar-cock/,Splendid Duo – High Flow – Pillar Cock,F430004,,"₹11,030",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F430004-group-img.png,
https://hindware.com/product/splendid-duo-single-lever-basin-mixer-2/,Splendid Duo – Single Lever Basin Mixer,,,"₹10,990",[],https://hindware.com/wp-content/uploads/2021/07/F470002-group-img.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-chrome-black-3/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN CHROME BLACK,F360012GRT,,"₹10,850",[],https://hindware.com/wp-content/uploads/2022/04/F360012GRT-01.png,
https://hindware.com/product/fluid-senso-pillar-sensor-faucet/,Fluid Senso Pillar Sensor Faucet,F240003CP,Touch Free Sensor Faucets for Total Peace of Mind.,"₹10,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/04/F240003.png,
https://hindware.com/product/sensor-tap-immacula-ac-dc/,Sensor Tap IMMACULA AC & DC,F240005CP,"Innovative, hands-free and easy-to-use, Sensor faucets are a must-have for the modern home.","₹10,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F240005.png,
https://hindware.com/product/sensor-wall-mounted-spout-immacula-ac-dc/,SENSOR WALL MOUNTED SPOUT “IMMACULA” (AC & DC),F240007CP,,"₹10,500",['Chrome'],https://hindware.com/wp-content/uploads/2022/03/F240007.png,
https://hindware.com/product/splendid-duo-pillar-cock/,Splendid Duo-Pillar Cock,F430002,,"₹10,490",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F430002-group-img.png,
https://hindware.com/product/s-l-bath-oh-shower-mixer-exp/,S/L BATH & OH SHOWER MIXER (EXP),F410019CP,,"₹9,990",['Chrome'],https://hindware.com/wp-content/uploads/2022/05/F410019CP.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-rose-gold-2/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN ROSE GOLD,F410012RGD,,"₹9,750",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410012RGD-01.png,
https://hindware.com/product/exposed-part-kit-of-single-lever-basin-mixer-wall-mounted-consisting-of-operating-lever-wall-flange-spout-in-chrome-black-2/,"EXPOSED PART KIT OF SINGLE LEVER BASIN MIXER WALL MOUNTED CONSISTING OF OPERATING LEVER, WALL FLANGE & SPOUT IN CHROME BLACK",F410013GRT,,"₹9,700",['Chrome Black'],https://hindware.com/wp-content/uploads/2022/04/F410013GRT-01.png,
https://hindware.com/product/tall-pillar-sensor-flora-ac-dc/,Tall Pillar Sensor Flora – AC/DC,F240009CP,"Innovative, hands-free and easy-to-use, Sensor faucets are a must-have for the modern home.","₹9,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F240009.png,
https://hindware.com/product/sensor-wall-mounted-spout-flora-ac-dc/,Sensor Wall Mounted Spout FLORA (AC & DC),F240010CP,,"₹9,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/08/F240010.png,
https://hindware.com/product/single-lever-basin-mixer-w-o-popup-waste-in-chrome-black-2/,SINGLE LEVER BASIN MIXER W/O POPUP WASTE IN CHROME BLACK,F410011GRT,,"₹9,250",['Chrome Black'],https://hindware.com/wp-content/uploads/2022/04/F410011GRT-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-gold-2/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN GOLD,F410012PGD,,"₹8,990",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F410012PGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-rose-gold/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN ROSE GOLD,F520012RGD,,"₹8,990",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520012RGD-01.png,
