url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/bath-shower-mixer-with-provision-of-overhead-shower-in-gold/,BATH & SHOWER MIXER WITH PROVISION OF OVERHEAD SHOWER IN GOLD,F360019PGD,,"₹16,300",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F360019PGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-gold-2/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN GOLD,F410012PGD,,"₹8,990",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F410012PGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-gold/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN GOLD,F520012PGD,,"₹8,500",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F520012PGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-gold-3/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN GOLD,F360012PGD,,"₹7,990",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F360012PGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-w-o-popup-waste-in-gold/,SINGLE LEVER BASIN MIXER W/O POPUP WASTE IN GOLD,F410011PGD,,"₹6,990",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F410011PGD-01.png,
https://hindware.com/product/exposed-part-kit-of-single-lever-basin-mixer-wall-mounted-consisting-of-operating-lever-wall-flange-spout-suitable-for-item-f850093-in-gold/,"EXPOSED PART KIT OF SINGLE LEVER BASIN MIXER WALL MOUNTED CONSISTING OF OPERATING LEVER, WALL FLANGE & SPOUT (SUITABLE FOR ITEM F850093) IN GOLD",F520013PGD,,"₹6,450",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F520012PGD-01-1.png,
https://hindware.com/product/single-lever-basin-mixer-w-o-popup-waste-in-gold-2/,SINGLE LEVER BASIN MIXER W/O POPUP WASTE IN GOLD,F520011PGD,,"₹6,450",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F520011PGD-01.png,
https://hindware.com/product/64263/,"EXPOSED PART KIT OF SINGLE LEVER BASIN MIXER WALL MOUNTED CONSISTING OF OPERATING LEVER, WALL FLANGE & SPOUT IN GOLD",F410013PGD,,"₹6,300",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F410013PGD-01.png,
https://hindware.com/product/pillar-cock-tall-in-gold-3/,PILLAR COCK TALL IN GOLD,F410002PGD,,"₹6,250",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F410002PGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-w-o-popup-waste-in-gold-3/,SINGLE LEVER BASIN MIXER W/O POPUP WASTE IN GOLD,F360011PGD,,"₹5,990",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F360011PGD-01.png,
https://hindware.com/product/exposed-part-kit-of-single-lever-basin-mixer-wall-mounted-consisting-of-operating-lever-wall-flange-spout-in-gold/,"EXPOSED PART KIT OF SINGLE LEVER BASIN MIXER WALL MOUNTED CONSISTING OF OPERATING LEVER, WALL FLANGE & SPOUT IN GOLD",F360017PGD,,"₹5,990",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F360017PGD-01.png,
https://hindware.com/product/pillar-cock-tall-in-gold/,PILLAR COCK TALL IN GOLD,F520002PGD,,"₹5,800",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F520002PGD-01.png,
https://hindware.com/product/pillar-cock-tall-in-gold-2/,PILLAR COCK TALL IN GOLD,F360002PGD,,"₹5,450",['Gold'],https://hindware.com/wp-content/uploads/2022/04/F360002PGD-01.png,
