url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/bath-shower-mixer-with-provision-of-overhead-shower-in-rose-gold/,BATH & SHOWER MIXER WITH PROVISION OF OVERHEAD SHOWER IN ROSE GOLD,F360019RGD,,"₹17,700",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360019RGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-rose-gold-2/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN ROSE GOLD,F410012RGD,,"₹9,750",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410012RGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-rose-gold/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN ROSE GOLD,F520012RGD,,"₹8,990",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520012RGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-tall-w-o-popup-waste-in-rose-gold-3/,SINGLE LEVER BASIN MIXER TALL W/O POPUP WASTE IN ROSE GOLD,F360012RGD,,"₹8,500",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360012RGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-w-o-popup-waste-in-rose-gold-2/,SINGLE LEVER BASIN MIXER W/O POPUP WASTE IN ROSE GOLD,F410011RGD,,"₹7,500",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410011RGD-01-01.png,
https://hindware.com/product/exposed-part-kit-of-single-lever-basin-mixer-wall-mounted-consisting-of-operating-lever-wall-flange-spout-in-rose-gold-2/,"EXPOSED PART KIT OF SINGLE LEVER BASIN MIXER WALL MOUNTED CONSISTING OF OPERATING LEVER, WALL FLANGE & SPOUT IN ROSE GOLD",F410013RGD,,"₹7,500",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410013RGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-w-o-popup-waste-in-rose-gold/,SINGLE LEVER BASIN MIXER W/O POPUP WASTE IN ROSE GOLD,F520011RGD,,"₹6,990",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520011RGD-01.png,
https://hindware.com/product/exposed-part-kit-of-single-lever-basin-mixer-wall-mounted-consisting-of-operating-lever-wall-flange-spout-in-rose-gold/,"EXPOSED PART KIT OF SINGLE LEVER BASIN MIXER WALL MOUNTED CONSISTING OF OPERATING LEVER, WALL FLANGE & SPOUT IN ROSE GOLD",F520013RGD,,"₹6,990",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520013RGD-01.png,
https://hindware.com/product/pillar-cock-tall-in-rose-gold-2/,PILLAR COCK TALL IN ROSE GOLD,F410002RGD,,"₹6,700",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410002RGD-01.png,
https://hindware.com/product/exposed-part-kit-of-single-lever-basin-mixer-wall-mounted-consisting-of-operating-lever-wall-flange-spout-in-rose-gold-3/,"EXPOSED PART KIT OF SINGLE LEVER BASIN MIXER WALL MOUNTED CONSISTING OF OPERATING LEVER, WALL FLANGE & SPOUT IN ROSE GOLD",F360017RGD,,"₹6,600",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360017RGD-01.png,
https://hindware.com/product/single-lever-basin-mixer-w-o-popup-waste-in-rose-gold-3/,SINGLE LEVER BASIN MIXER W/O POPUP WASTE IN ROSE GOLD,F360011RGD,,"₹6,500",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360011RGD-01.png,
https://hindware.com/product/pillar-cock-tall-in-rose-gold/,PILLAR COCK TALL IN ROSE GOLD,F520002RGD,,"₹6,250",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520002RGD-01.png,
https://hindware.com/product/64389/,PILLAR COCK TALL IN ROSE GOLD,F360002RGD,,"₹5,850",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360002RGD-01.png,
https://hindware.com/product/bath-tub-spout-with-tip-ton-in-rose-gold-2/,BATH TUB SPOUT WITH TIP-TON IN ROSE GOLD,F410010RGD,,"₹5,700",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410010RGD-01.png,
https://hindware.com/product/bath-tub-spout-with-tip-ton-in-rose-gold/,BATH TUB SPOUT WITH TIP-TON IN ROSE GOLD,F520010RGD,,"₹5,300",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520010RGD-01.png,
https://hindware.com/product/bath-tub-spout-with-tip-ton-in-rose-gold-3/,BATH TUB SPOUT WITH TIP-TON IN ROSE GOLD,F360010RGD,,"₹4,990",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360010RGD-01.png,
https://hindware.com/product/single-lever-exposed-part-kit-of-hi-flow-divertor-consisting-of-operating-lever-wall-flange-knob-only-in-rose-gold-2/,SINGLE LEVER EXPOSED PART KIT OF HI – FLOW DIVERTOR CONSISTING OF OPERATING LEVER WALL FLANGE & KNOB ONLY IN ROSE GOLD,F410016RGD,,"₹4,850",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410016RGD-01.png,
https://hindware.com/product/single-lever-exposed-part-kit-of-hi-flow-divertor-consisting-of-operating-lever-wall-flange-knob-only-in-rose-gold/,SINGLE LEVER EXPOSED PART KIT OF HI – FLOW DIVERTOR CONSISTING OF OPERATING LEVER WALL FLANGE & KNOB ONLY IN ROSE GOLD,F520015RGD,,"₹4,600",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520015RGD-01.png,
https://hindware.com/product/bib-cock-with-wall-flange-in-rose-gold-2/,BIB COCK WITH WALL FLANGE IN ROSE GOLD,F410004RGD,,"₹4,550",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410004RGD-01.png,
https://hindware.com/product/pillar-cock-in-rose-gold-2/,PILLAR COCK IN ROSE GOLD,F410001RGD,,"₹4,550",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410001RGD-01.png,
https://hindware.com/product/bib-cock-with-wall-flange-in-rose-gold/,BIB COCK WITH WALL FLANGE IN ROSE GOLD,F520004RGD,,"₹4,200",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520004RGD-01.png,
https://hindware.com/product/pillar-cock-in-rose-gold/,PILLAR COCK IN ROSE GOLD,F520001RGD,,"₹4,200",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520001RGD-01.png,
https://hindware.com/product/bath-tub-spout-in-rose-gold-2/,BATH TUB SPOUT IN ROSE GOLD,F410009RGD,,"₹4,200",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F410009RGD-01.png,
https://hindware.com/product/bib-cock-with-wall-flange-in-rose-gold-3/,BIB COCK WITH WALL FLANGE IN ROSE GOLD,F360004RGD,,"₹3,990",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360004RGD-01.png,
https://hindware.com/product/pillar-cock-in-rose-gold-3/,PILLAR COCK IN ROSE GOLD,F360001RGD,,"₹3,990",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360001RGD-01.png,
https://hindware.com/product/bath-tub-spout-in-rose-gold/,BATH TUB SPOUT IN ROSE GOLD,F520009RGD,,"₹3,900",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F520009RGD-01.png,
https://hindware.com/product/bath-tub-spout-in-rose-gold-3/,BATH TUB SPOUT IN ROSE GOLD,F360009RGD,,"₹3,650",['Rose Gold'],https://hindware.com/wp-content/uploads/2022/04/F360009RGD-01.png,
