Link,Title,Description,Images,Features,Height,Model,Cat Code,Size(mm),Door Access,Price
https://hindware.com/product-category/shower_enclosure/,BERLIN,CORNER SHOWER ENCLOSURE WITH TWO FIXED GLASS AND OPEN ABLE DOOR FIXED ON WALL,"['https://hindware.com/wp-content/uploads/2021/03/berlin-pic-1-435x435.jpeg', 'https://hindware.com/wp-content/uploads/2021/03/BERLIN-Model-435x411.jpeg']","['Glass: Clear/ Frosted Acid wash', 'Left & Right Version Available', 'Custom Size available', 'Ledges are optional', 'Size (1600-3200)W x (1950)H', '8/10 mm toughened Polish glass meets IS 2553 part 1 and EN-12150-1:2015', 'Aqua clean as a default features which make bathroom more hygiene', 'Brass hardware with chrome finish to enhance aesthetic', 'SS304 mirror finish stabilizer bar & rust Free Screws', 'Shower Enclosure meets EN-14428:2015', 'Inside/outside opening availability']",,,,,,
,,,,,2200 mm Standard Height,10 mm,SU13CLW-2832H22-CR,2801-3200,700.0,"₹67,500"
,,,,,2200 mm Standard Height,10 mm,SU13CLW-2428H22-CR,2401-2800,700.0,"₹63,800"
,,,,,2200 mm Standard Height,10 mm,SU13CLW-2024H22-CR,2001-2400,700.0,"₹59,000"
,,,,,2200 mm Standard Height,10 mm,SU13CLW-1620H22-CR,1601-2000,650.0,"₹57,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLW-2832H22-CR,2801-3200,700.0,"₹59,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLW-2428H22-CR,2401-2800,700.0,"₹56,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLW-2024H22-CR,2001-2400,700.0,"₹51,000"
,,,,,2200 mm Standard Height,8 mm,SU83CLW-1620H22-CR,1601-2000,650.0,"₹49,500"
,,,,,1950mm Standard Height,10 mm,SU13CLW-2832H19-CR,2801-3200,700.0,"₹55,300"
,,,,,1950mm Standard Height,10 mm,SU13CLW-2428H19-CR,2401-2800,700.0,"₹51,700"
