url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/rain-spa-led-chromo-shower/,Rain Spa LED Chromo Shower,F160065CP,"SOAK IN THE MAGIC OF THE RAINBOW
A rainbow that whispers soothing harmonies. A peaceful world where contemplation occurs and uncertainty disappears. Indulge into RAIN SPA, a shower with seven delightful colours that makes your bathing experience a truly rejuvenating journey.","₹146,220",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F160065.png,680 × 430 cm
https://hindware.com/product/2-functions-waterfall-top-rain-shower/,2 FUNCTIONS WATERFALL TOP RAIN SHOWER,F160043CP,,"₹39,990",['Chrome'],https://hindware.com/wp-content/uploads/2022/03/F160043.png,200 cm
https://hindware.com/product/exposed-rain-shower-rain-forest/,Exposed Rain Shower (Rain Forest),F160075CP,,"₹19,990",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/Others890x812.png,
https://hindware.com/product/ultra-thin-ss-rain-shower-400-mm-round/,Ultra Thin SS Rain Shower 400 mm Round,F160063CP,,"₹10,990",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160063CP-890x812-1.png,
https://hindware.com/product/ultra-thin-ss-rain-shower-400-mm-square/,Ultra Thin SS Rain Shower 400 mm Square,F160064CP,,"₹10,990",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160064-890x812-1.png,
https://hindware.com/product/led-overhead-shower-2/,LED Overhead 204 mm Shower,F160058CP,,"₹7,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160058-890x812-1.png,
https://hindware.com/product/ultra-thin-ss-rain-shower-300-mm-round/,Ultra Thin SS Rain Shower 300 mm Round,F160061CP,,"₹7,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160061CP-890x812-1.png,
https://hindware.com/product/ultra-thin-ss-rain-shower-300-mm-square/,Ultra Thin SS Rain Shower 300 mm Square,F160062CP,,"₹7,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160062CP-890x812-1.png,
https://hindware.com/product/nebula-overhead-shower/,Nebula OverHead Shower,F450020CP,,"₹7,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/450020890x812.png,
https://hindware.com/product/led-overhead-shower/,LED Overhead 126 mm Shower,F160057CP,,"₹6,000",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160057-890x812-1.png,
https://hindware.com/product/ultra-thin-ss-rain-shower-250-mm-round/,Ultra Thin SS Rain Shower 250 mm Round,F160106CP,,"₹5,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F160106CP.png,250 cm
https://hindware.com/product/ultra-thin-ss-rain-shower-250-mm-square/,Ultra Thin SS Rain Shower 250 mm Square,F160105CP,,"₹5,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/05/F160105CP.png,250 cm
https://hindware.com/product/multi-flow-hand-shower/,Multi Flow Hand Shower,F500007CP,,"₹4,990",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F500007.png,
https://hindware.com/product/led-hand-shower/,LED Hand Shower,F160056CP,,"₹4,900",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160056.png,
https://hindware.com/product/body-shower-120-mm-dia-square-shape-brass/,Body Shower 120 mm Dia Square Shape (Brass),F160067CP,,"₹4,500",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F160067.png,
https://hindware.com/product/single-flow-overhead-shower-3/,Single Flow Overhead 230 mm Shower,F500012CP,"Single Flow,Rain Flow,230 mm,Brass + Chrome Plated,White Face + Grey Nozzle","₹3,990",['Chrome'],https://hindware.com/wp-content/uploads/2021/03/F500012-890x812-1.png,
