url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/enigma-sensor-urinal/,Enigma  Sensor Urinal,96004,,"₹57,120","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Urinal-uSense_96004-1.png,31 × 37 × 64 cm
https://hindware.com/product/aquafree-waterless-urinal-2/,Aquafree  Waterless Urinal,60017,,"₹37,080","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Aquafree-Uri.png,31.5 × 33 × 60 cm
https://hindware.com/product/alexa-sensor-urinal/,Alexa  Sensor Urinal,96005,,"₹31,015",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Alexa-E-sence-Urinal_96005.png,33 × 34.5 × 69 cm
https://hindware.com/product/senso-art-sensor-urinal/,Senso Art Sensor Urinal,60018,Urinals with inbuilt sensor flushing make sure of your safety through a touch-free and hygienic experience.,"₹24,190","['Pastel', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Senso-Art_60018.png,37 × 39 × 61 cm
https://hindware.com/product/edge-senso-urinal/,Edge Senso Urinal,96015,"Edge Senso – distinctively designed with thin rimmed ceramics, ideal for contemporary bathrooms in commercial and hospitality segment. Its smooth rimless design accompanied with IR Sensor that effortlessly washes the bowl before and after of every use concede personal hygiene & spreads an aura of grace in the bathroom space.","₹18,490",['Starwhite'],https://hindware.com/wp-content/uploads/2021/05/Edge_Urinal_Senso_96015.png,31 × 30.5 × 62 cm
https://hindware.com/product/flow-sensor-urinal/,Flow  Sensor Urinal,60021,Urinals with inbuilt sensor flushing make sure of your safety through a touch-free and hygienic experience.,"₹16,460","['Pastel', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Flow-Urinal_60021.png,29.5 × 32.5 × 57.5 cm
https://hindware.com/product/olympus-neo-standard-urinal/,Olympus Neo Standard Urinal,96010,,"₹13,125","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/OLYMPUS-NEO_96010.png,46 × 30 × 71 cm
https://hindware.com/product/dyna-standard-urinal/,Dyna  Standard Urinal,60010,,"₹12,560","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Dyna-Urinal_60010psd.png,31 × 37 × 64 cm
https://hindware.com/product/edge-urinal/,Edge Urinal,96013,"Edge – distinctively designed with thin rimmed ceramics, ideal for contemporary bathrooms in commercial and hospitality segment. Its smooth rimless design accompanied with SS Spreader compliments personal hygiene & spreads an aura of grace in the bathroom space.","₹11,550",['Starwhite'],https://hindware.com/wp-content/uploads/2021/05/Edge_Urinal_96013.png,31 × 30.5 × 62 cm
https://hindware.com/product/rhine-standard-urinal/,Rhine  Standard Urinal,96008,,"₹10,560","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/05/Rhine_96008-02.png,28 × 34.5 × 69 cm
https://hindware.com/product/omega-neo/,OMEGA NEO Urinal,96007,,"₹9,985","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Omega-Neo_96007.png,32 × 28 × 57 cm
https://hindware.com/product/opus-urinal-2/,Opus Urinal,96014,"Opus contemporary, minimal looks make it a good fit in any type of setting. Its concealed plumbing give a very neat look. Not to mention, the premium design will elevate the standard commercial setting to a grander level.","₹9,040",['Starwhite'],https://hindware.com/wp-content/uploads/2021/05/Opus_Urinal_96014.png,30.5 × 38 × 65 cm
https://hindware.com/product/fb-eureka-standard-urinal/,FB- Eureka  Standard Urinal,60020,,"₹7,040","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Eureka-urinal_60020.png,37 × 39 × 60 cm
https://hindware.com/product/new-division-plate/,New Division Plate,61005,,"₹6,140","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/New-Division-plate_61005.png,75 × 16.5 × 36.5 cm
https://hindware.com/product/fb-large-standard-urinal/,Fb – Large  Standard Urinal,60002,,"₹6,020","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Flat-back-large-Urinal_60002.png,37.5 × 39 × 59 cm
https://hindware.com/product/acu-pan-squatting-pans/,Acu Pan Squatting Pans,20076,,"₹4,320","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/01/Acu-Pan_20076.png,58 × 44 cm
https://hindware.com/product/corto-standard-urinal/,Corto Standard Urinal,60022,,"₹3,250",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Corto_60022.png,33 × 30 × 45 cm
https://hindware.com/product/corto-standard-urinal-top-inlet/,Corto Standard Urinal Top Inlet,60023,,"₹3,250",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Corto_60023.png,33 × 30 × 45 cm
https://hindware.com/product/asian-squatting-pans/,Asian Squatting Pans,20018,,"₹2,970","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Asian-Pan_20018.png,50 × 40 cm
