url,name,Catalogue No.,description,mrp,colors,image links,Size
https://hindware.com/product/automate-intelligent-closet/,Automate Intelligent Floor Mounted Closet,92522,"Intelligence that works for you. Automate water closets from Hindware Italian Collection, designed to epitomise automation at its best while ensuring proper hygiene and cleanliness.","₹218,080",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Automate-92522-S-Gold.png,
https://hindware.com/product/automate-wall-mounted-closet/,Automate Intelligent Wall Mounted Closet,92561,"Intelligence that works for you. Automate water closets from Hindware Italian Collection, designed to epitomise automation at its best while ensuring proper hygiene and cleanliness.","₹127,180",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Automate-92561-WM-1.png,
https://hindware.com/product/matrix-set/,Matrix Set,70002,,"₹50,710",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Matrix-EWC_70002.png,
https://hindware.com/product/e-clenz-wall-mounted-closet/,E-Clenz Wall Mounted Closet,92592,"A water closet to take care of your comfort, smartly. With a host of intelligent features, E Clenz WC is here to enhance your lifestyle with comfort and delight.","₹43,710",['Starwhite'],https://hindware.com/wp-content/uploads/2021/04/92592.png,
https://hindware.com/product/ewc-wall-mounted-tankless-s-2/,Tankless S2 Wall Mounted EWC Square,92593,Future of Bathroom is Here! No need to Break the Walls!,"₹26,990",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Tankless-S2_92593.png,
https://hindware.com/product/ewc-wall-mounted-tankless-s-1/,Tankless S1 Wall Mounted EWC Round,92591,Future of Bathroom is Here! No need to Break the Walls!,"₹25,910",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Tankless-S1_92591.png,
https://hindware.com/product/edge-s-220-one-piece-ewc/,EDGE S-220 One Piece Closet,92562,,"₹24,700",['Starwhite'],https://hindware.com/wp-content/uploads/2021/03/Edge_92562.png,63.5 × 37.5 × 75.5 cm
https://hindware.com/product/element/,ELEMENT S-300 One Piece Closet,92082,"The Element water closet collection by Hindware is inspired by a unique mix of ancient and new. It exemplifies the quintessential element of Hindware as a brand that stands for everything that a modern-dweller desires. Minimalistic space, sleek design, brilliant finish and superior performance – ideal blend of urban aesthetics and ancient utility scope.","₹22,900","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/03/Element_92082.png,
https://hindware.com/product/element-one-piece-closet-2/,ELEMENT S-220 One Piece Closet,92084,"The Element water closet collection by Hindware is inspired by a unique mix of ancient and new. It exemplifies the quintessential element of Hindware as a brand that stands for everything that a modern-dweller desires. Minimalistic space, sleek design, brilliant finish and superior performance – ideal blend of urban aesthetics and ancient utility scope.","₹22,900","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/05/Element_92084.png,
https://hindware.com/product/element-one-piece-closet-2/,ELEMENT S-220 One Piece Closet,92084,"The Element water closet collection by Hindware is inspired by a unique mix of ancient and new. It exemplifies the quintessential element of Hindware as a brand that stands for everything that a modern-dweller desires. Minimalistic space, sleek design, brilliant finish and superior performance – ideal blend of urban aesthetics and ancient utility scope.","₹22,900","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/05/Element_92084.png,
https://hindware.com/product/element-2/,ELEMENT S-100 One Piece Closet,92085,"The Element water closet collection by Hindware is inspired by a unique mix of ancient and new. It exemplifies the quintessential element of Hindware as a brand that stands for everything that a modern-dweller desires. Minimalistic space, sleek design, brilliant finish and superior performance – ideal blend of urban aesthetics and ancient utility scope.","₹22,900","['Ivory', 'Starwhite']",https://hindware.com/wp-content/uploads/2021/04/92085.png,
