Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/adora-90/,Adora 90 Hood Kitchen Chimney,,,,KITCHEN HOOD & CHIMNEY,"['Finish Black :  Size 90 cm', 'Suction (M3/Hr) :  1400±50 M³/hr', 'Auto Clean Type  :  Dry, 3rd Generation', 'Switch Control :  Touch Control', 'Illumination Type  :  LED', 'Voltage (V) / Frequency (Hz)  :  AC 220-240V / 50Hz', 'Noise Level (dBA) :  58 dB', 'Total Power :  305W', 'Duct Diameter (mm)  :  180 mm', 'Product Dimension (L X W X H)(mm) :  895 X 318 X 1017']","['Suction Capacity : 1400', 'Size : 90 cm']",[],"['Finish Black :  Size 90 cm', 'Suction (M3/Hr) :  1400±50 M³/hr', 'Auto Clean Type  :  Dry, 3rd Generation', 'Switch Control :  Touch Control', 'Illumination Type  :  LED', 'Voltage (V) / Frequency (Hz)  :  AC 220-240V / 50Hz', 'Noise Level (dBA) :  58 dB', 'Total Power :  305W', 'Duct Diameter (mm)  :  180 mm', 'Product Dimension (L X W X H)(mm) :  895 X 318 X 1017']",[],[],"['https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0059.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0015.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0041.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/FDS_0059.jpg']"
https://www.kutchina.com/product/adora-90-premium/,ADORA 90 Premium 3rd Gen Kitchen Chimney,,"Presenting the one-of-its-kind smart kitchen chimney, Adora 90 Premium by Kutchina. Conceptualized for modern living, Adora 90 Premium comes with the finest premium quality features. The 90 cm long body made of mild steel weighs 32 kg. Designed in the hood layout, this 3rd generation chimney operates under 3 speeds with a suction power of 1400±50m³/Hr. Switch controls of Adora 90 Premium is made easier through touch control with wave sensors. Experience the comforts of cooking, without worrying about suffocating smoke with Adora 90 premium.",,"3rd Gen Kitchen Chimney, AUTOCLEAN KITCHEN CHIMNEY, Kitchen Chimney, KITCHEN HOOD & CHIMNEY, Touch Sensors","['CATAGORY :  RETAIL', 'LAYOUT :  HOOD', 'BODY :  MS', 'SIZE :  90 Cm', 'Voltage (V) :  AC220-240V', 'Frequency (Hz) :  50Hz', 'Rated Motor Power (W) :  1 X 215W', 'Illumination type :  LED Lamp', 'Illumination Power :  1 X max 10W', 'Auto Clean type :  DRY, 3rd Generation', 'Autoclean Power(W) :  80 W', 'Total Power ( W ) :  305 W', 'SUCTION ( m3/h ) :  1400±50m³/Hr', 'Noise Level ( dBA) :  58 Db', 'Speeds :  3', 'Switch Control :  Touch Control with wave sensor', 'Recycling :  NO', 'Outlet Diameter (mm) :  180 mm', 'Unit Dimension(mm) :  L895 X W318 X H1017mm', 'N.W. :  25 Kg', 'G.W. :  32 Kg', 'Carton Dimension (L x W x H) :  L1111 X W410 X H970mm']","['Suction Capacity : 1400', 'Size : 90 cm']",[],[],[],[],"['https://www.kutchina.com/wp-content/uploads/2015/10/Adora-90-Premium.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/Adora-90-Premium-1.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/Adora-90-Premium-2.jpg']"
https://www.kutchina.com/product/amaze-60-premium-2/,AMAZE 60 PREMIUM Hood Kitchen Chimney,,"Loaded with supreme features, Kutchina Amaze 60 Premium chimney offers you an amazing cooking experience. With a suction power of 1300±50 m³/hr, the filterless chimney removes cooking fumes and odour from the kitchen. The hood design of the kitchen chimney makes it look aesthetically pleasing. Meticulously installed on the wall, this chimney is ideal for the kitchens where the gas top is fitted against the wall. The chimney has one of the most advanced technologies. i-Autoclean technology eliminates the task of manually cleaning the appliance. The sensors in the chimney set its cleaning schedules by itself, thereby allowing touch-free cleaning. The highly functional kitchen chimney comes a powerful motor that works with the utmost precision. It comes with a lifetime warranty on the motor.",FGCH01PE0006,"Kitchen Chimney, KITCHEN HOOD & CHIMNEY","['Suction capacity: With Kutchina highly efficient Amaze 60 Premium chimney, get rid of toxic fumes and smoke. The filterless chimney comes with a suction capacity of 1300±50 m³/h. The appliance will never disappoint you with its efficiency and keep your kitchen spotlessly clean and smoke-free.Size: The 60 cm chimney is apt for your compact kitchen space. Without taking up too much space in the kitchen, this appliance will do its job without any hassle.Layout: The kitchen chimney has a hood layout, which is ideal for those kitchens where the gas top is fitted against the wall. Given its sleek design and efficient suction capacity, it is one of the most popular chimneys.\xa0iAutoclean technology: The advanced intelligent or iAutoclean technology solves your problem of cleaning the kitchen chimney. The innovative technology sets its cleaning schedules automatically, eliminating the need for doing the task manually.\xa0Switch control: The easy-to-use touch control panel enhances the look of the chimney. The touch control panel gives you easy access to the chimney’s features. The panel is designed to facilitate easy cleaning.\xa0Speed control: The chimney is equipped with three-speed controls that can be adjusted and controlled as per the cooking requirements.Illumination type: The chimney is fitted with an energy-efficient LED lamp that effectively illuminates the hob area so that you can cook with ease.\xa0Low noise level: Despite having a powerful motor, this chimney doesn’t make too much noise. At 56dB noise level, you can work in the kitchen peacefully.\xa0Aesthetics: The elegant kitchen chimney comes in black colour that transforms the look of your kitchen and makes it aesthetically appealing.\xa0Warranty: The chimney comes with a lifetime warranty on the motor.\xa0']","['Suction Capacity : 1300', 'Size : 60 cm']","['LAYOUT: :  HOOD (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W500 X H620mm']","['Illumination type: :  LED Lamp', 'Illumination Power: :  2 X max 2W', 'Auto Clean type: :  INTELLIGENT AUTO CLEAN', 'Autoclean Power(W): :  100 W', 'Total Power(W): :  354 W', 'SUCTION(m3/h): :  1300±50m³/Hr', 'Noise Level(dBA): :  56 dB', 'Speed Control: :  3', 'Switch Control: :  Touch Control', 'Outlet Diameter(mm): :  150mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 250W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_AMAZE-60-PREMIUM-600x600_.jpg']
https://www.kutchina.com/product/amora-premium-2/,AMORA PREMIUM Hood Kitchen Chimney,,"If you are looking for a fuss-free chimney, then Kutchina Aroma premium chimney is right for you. The i-Autoclean chimney comes with 1400±50m³/Hr suction that makes it ideal for Indian kitchens. The high suction capacity prevents oil and grease from sticking to the walls, ceilings and tiles, keeping your kitchen clean and odour-free. Unlike traditional chimney models that required a lot of cleaning and maintenance, this chimney allows touch-free cleaning. Backed by artificial intelligence, this chimney cleans itself. The chimney senses your cooking patterns and schedules its own cleaning schedules. It comes with the noise value of 46 dB, maintaining a calm environment. This chimney comes with a touch control panel, which makes it convenient to use. Other than eye-catching appearance and effective suction abilities, this chimney comes with a lifetime warranty in copper winding motors.",FGCH01PE0011,"Kitchen Chimney, KITCHEN HOOD & CHIMNEY","['Suction capacity: Kutchina Amora Premium chimney comes with a suction capacity of 1400±50m³/Hr, which helps your kitchen stay fresh and odour-free. The powerful motor ensures long durability and lesser noise.\xa0', 'Size: This heavy-duty chimney is 90 cm making it ideal for 4 burner gas stoves. It is ideal for medium to large-sized kitchens.\xa0', 'Layout: Apt for all types of kitchens, this chimney makes an attractive addition. The chimney with curved toughened glass will look good in kitchens which have cooktop placed adjacent to the wall.\xa0', 'i-Auto-clean technology: The filterless chimney is one of the most advanced chimneys in the market. With no filters, this chimney involves no cleaning hassles, which make its consumable and maintenance cost zero. Moreover, it allows for touch-free cleaning. The chimney comes with an intelligent in-built cleaning system that cleans the chimney on its own. The filterless technology prevents oil clogging on the internal parts of the chimney, increasing its durability.\xa0', 'Illumination type: The chimney comes with LED lights to illuminate the cooking area.\xa0', 'Speed control: The chimney comes with touch controls that help you choose between the three speeds and hob light.\xa0Switch control: The trendy touch controls not only give easy access to all the features of your chimney but are also easy to clean.\xa0', 'Low noise level: Though the suction is power is high, the motor is so efficient that it doesn’t make too much noise. With a maximum noise level at 46 dB, this chimney allows you to peacefully concentrate on cooking without disturbance.\xa0', 'Aesthetics: Crafted with the elegance and grace, this chimney has a timeless look that will go well with modern as well as a traditional kitchen. It is a great combination of beauty and functionality.\xa0', 'Warranty: This advanced chimney comes with a lifetime warranty on motors.\xa0']","['Suction Capacity : 1400', 'Size : 90 cm']","['LAYOUT: :  HOOD (3 ft)', 'BODY: :  MS', 'SIZE: :  90 Cm', 'Unit Dimension(mm): :  L900 X W500 X H600mm']","['Illumination type: :  LED Lamp', 'Illumination Power: :  2 X max 2W', 'Auto Clean type: :  Intelligent Auto Clean', 'Autoclean Power(W): :  10 W', 'Total Power(W): :  304 W', 'SUCTION(m3/h): :  1400±50m³/Hr', 'Noise Level(dBA): :  46 dB', 'Speed Control: :  3', 'Switch Control: :  Touch Control', 'Outlet Diameter(mm): :  160mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 200W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimney_Amora-Premium-600x600_.jpg']
https://www.kutchina.com/product/angelo-75-premium/,ANGELO 75 PREMIUM Hood Kitchen Chimney,,"Get rid of fumes, odours and steam from your kitchen by installing Kutchina Angelo 75 premium chimney. This heavy-duty chimney from Kutchina comes with a suction capacity of 1600±50m³/Hr. The high suction capacity gets rid of oil particles and other debris, keeping your kitchen fresh and clean. With the help of advanced technology like i-Autoclean, this chimney does its job with complete precision and that too without requiring cleaning and maintenance. The i-Autoclean technology has artificial intelligence-based sensors which detect the amount of oil and debris collected and runs cleaning by itself. Unlike traditional chimneys that required frequent cleaning, this chimney allows touch-free cleaning. The sleek and stylish design of this chimney will elevate the style quotient of your kitchen. High on functionality and style, this technologically-advanced chimney comes with a lifetime warranty on motors.",,"Kitchen Chimney, KITCHEN HOOD & CHIMNEY","['Suction capacity: Kutchina Angelo 75 Premium comes with a suction capacity of 1600±50m³/Hr. The high suction capacity will keep your kitchen smoke-free and spotless. The powerful winding motor is manufactured in 100% copper, which allows powerful suction.\xa0', 'Size: Known for its superior suction technology, this 75cm chimney is ideal for medium-sized kitchens with heavy frying and grilling.\xa0\xa0', 'Layout: Crafted with care, this top-quality chimney is ideal for medium to large-sized kitchens. The hood of the chimney is perfect for kitchens with gas stoves placed against the wall.\xa0', 'i-Auto-clean technology: This chimney comes with cutting edge i-Autoclean technology which cleans the oil and residue collected over the motor without you having to lift even a finger. Usually, cleaning the chimneys is a tedious task. However, this chimney is equipped with artificial intelligence-backed sensors which clean the chimney whenever required. This technology not only increases the longevity and the function of the suction filter but it also reduces overall upkeep and maintenance costs.\xa0\xa0', 'Illumination type: The appliance comes with energy-efficient LED lamps to illuminate the hob area while you are cooking. The lamps ensure that you have sufficient light for cooking.', 'Speed control: The heavy-duty chimney comes with three speeds to choose from. You can adjust the speed of the suction as per your cooking requirements.\xa0', 'Switch control: This chimney comes touch panel. With just a touch of buttons, you can control the speed of the suction and illuminate the hob area. The touch control makes it easy for the user to change the settings with just one hand.\xa0', 'Low noise level: Though the suction power of the chimney is high, it doesn’t make too much noise. With noise level at 58 dB, this chimney doesn’t cause much disturbance while you are cooking.\xa0', 'Aesthetics: The easy-to-use chimney is elegantly designed to add a stylish look to the interior of the kitchen. The black toughened glass finish is timeless and is suitable for all kinds of kitchen.\xa0', 'Warranty: This heavy duty chimney comes with a lifetime warranty on the motor.\xa0']","['Suction Capacity : 1600', 'Size : 75 cm']","['LAYOUT: :  HOOD (2.5 ft)', 'BODY: :  MS', 'SIZE: :  75 Cm', 'Unit Dimension(mm): :  L750 X W280 X H475mm']","['Illumination type: :  LED Lamp', 'Illumination Power: :  2 X max 2W', 'Auto Clean type: :  Intelligent Auto Clean', 'Autoclean Power(W): :  75 W', 'Total Power(W): :  279 W', 'SUCTION(m3/h): :  1600±50m³/Hr', 'Noise Level(dBA): :  58 dB', 'Speed Control: :  2', 'Switch Control: :  Touch Control', 'Outlet Diameter(mm): :  150mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 200W']",['https://www.kutchina.com/wp-content/uploads/2015/10/Angelo-75.jpg']
https://www.kutchina.com/product/aster-dlx/,ASTER DLX,,"Elevate your love for inspiring kitchen aesthetics, with the new Aster DLX chimney by Kutchina. With a stunning 90 cm hood body made of mild steel, Aster DLX operates under an impressive noise level of 46 dB. The gross weight of the gigantic Aster DLX is 28 kg. This chimney operates under three speeds, and is powered by intelligent auto clean technology. Push buttons make the switch control easier. The chimney is illuminated by LED lamps, bringing value to your kitchen experience. A 200W motor of long lasting warranty makes Aster DLX chimney perform with a suction power of 1400±50m³/Hr.",,"Intelligent Auto Clean Chimney, Kitchen Chimney, KITCHEN HOOD & CHIMNEY, Touch Sensors","['CATAGORY :  RETAIL', 'LAYOUT :  HOOD', 'BODY :  MS', 'SIZE :  90 Cm', 'Voltage (V) :  AC220-240V', 'Frequency (Hz) :  50Hz', 'Rated Motor Power (W) :  1 X 200W', 'Illumination type :  LED Lamp', 'Illumination Power :  2 X max 2W', 'Auto Clean type :  Intelligent Auto Clean', 'Autoclean Power(W) :  100W', 'Total Power ( W ) :  304W', 'SUCTION ( m3/h ) :  1400±50m³/Hr', 'Noise Level ( dBA) :  46 dB', 'Speeds :  3', 'Switch Control :  Touch Control', 'Recycling :  NO', 'Outlet Diameter (mm) :  160mm', 'Unit Dimension(mm) :  L900 X W500 X H600mm', 'N.W. :  23 Kg', 'G.W. :  28 Kg']","['Suction Capacity : 1400', 'Size : 90 cm']",[],[],[],[],[]
https://www.kutchina.com/product/aster-excel/,ASTER EXCEL Hood Kitchen Chimney,,"If you are looking for an electric kitchen chimney, then Kutchina Aster Excel chimney is the one for you. The i-Autoclean chimney comes with a high suction capacity of 1400±50m³/Hr that keeps your kitchen smoke and grime-free. It comes with 100% copper winding motors that are made of alloy and metal, ensuring durability. The motors of this model are designed to operate at low noise levels, thereby maintaining a peaceful and calm environment while cooking. The touch control switch panel comes with three-speed levels, which can be adjusted easily when cooking. The chimney is also equipped with a power-saving LED light that provides the highest efficiency. The energy-efficient LED lamp is designed to illuminate the cooking area, enhancing the cooking experience. Backed by Artificial Intelligence, the kitchen chimney senses the patterns of your cooking and sets its cleaning schedules by itself. Apart from all these supreme features, the chimney comes with a lifetime warranty on the copper winding motor.",FGCH01RT0011,"Kitchen Chimney, KITCHEN HOOD & CHIMNEY","['Suction capacity: The Aster Excel chimney by Kutchina helps keep your kitchen oil and odour-free by eliminating toxic impurities and fumes. This chimney comes with a high suction capacity of 1400±50m³/Hr that keeps your kitchen fresh. The 100% copper winding motors ensure durability and powerful performance.\xa0', 'Size: The kitchen chimney comes with a size of 90 cm, which is ideal for medium to large-sized kitchens. Besides, if you have a four-burner gas stove, then this model is apt.', 'Layout: With a hood design, this chimney is ideal for all kitchen types. It will look good in kitchens which have a cooktop placed right against the wall. It ensures great performance and extensive coverage.', 'i-Auto-clean technology: Equipped with i-Autoclean technology, this filterless kitchen chimney allows touch-free cleaning. No filters mean no cleaning hassles. The in-built sensors of the kitchen chimney set the cleaning schedules by itself, thereby eliminating the need for manually performing the cleaning chores. Besides, the filterless technology prevents the internal parts from getting oil-clogged, which in turn, increases the longevity of the appliance.', 'Illumination type: The LED lights of the chimney are highly energy efficient in illuminating the cooktop area.', 'Speed control: There are three speed options of this kitchen chimney – low, medium, and high. You can adjust or control the speed easily while cooking.', 'Switch control: The touch control switch panel improves the appearance of the model. It offers easy access to all the features of the chimney, so it can be cleaned and operated, without any fuss.', 'Low noise level: The kitchen chimney comes with a noise level as low as 46 dB, which lets you concentrate on your cooking peacefully.\xa0', 'Aesthetics: A perfect blend of functionality and style, the slate grey coloured kitchen chimney elevates the decor of your kitchen. The toughened glass finish, elegant body, and shape make it timeless.', 'Warranty: The product comes with a lifetime warranty on the motor.\xa0']","['Suction Capacity : 1400', 'Size : 90 cm']","['LAYOUT: :  HOOD (3 ft)', 'BODY: :  MS', 'SIZE: :  90 Cm', 'Unit Dimension(mm): :  L900 X W500 X H600mm']","['Illumination type: :  LED Lamp', 'Illumination Power: :  2 X max 2W', 'Auto Clean type: :  Intelligent Auto Clean', 'Autoclean Power(W): :  100 W', 'Total Power(W): :  304 W', 'SUCTION(m3/h): :  1400±50m³/Hr', 'Noise Level(dBA): :  46 dB', 'Speed Control: :  3', 'Switch Control: :  Touch Control', 'Outlet Diameter(mm): :  160mm']","['Touch Free Cleaning', 'Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: INTELLIGENT AUTO CLEAN']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  1 X 200W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_ASTER-EXCEL-600x600_.jpg']
https://www.kutchina.com/product/brio-60-premium/,Brio 60 premium Hood Kitchen Chimney,,,,KITCHEN HOOD & CHIMNEY,[],"['Suction Capacity : 1000', 'Size : 60 cm']",[],[],[],[],"['https://www.kutchina.com/wp-content/uploads/2021/01/pro-1.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/pro-2.jpg']"
https://www.kutchina.com/product/brio-75-premium/,Brio 75 Premium Kitchen Chimney,,"Presenting the brilliant kitchen chimney for Indian homes – Brio 75 Premium by Kutchina. Brio 75 premium comes with a body size of 75 cm, which is larger than most of the small size chimneys in the market. Brio 75 Premium is a hood-type chimney and is powered with 3rd generation auto clean technology. Smoke and odour from kitchen can be sucked out in 3 different speeds. Chimney is easy to operate with push button for switch control, making it comfortable for people of all generations.",,"3rd Gen Kitchen Chimney, AUTOCLEAN KITCHEN CHIMNEY, Kitchen Chimney, KITCHEN HOOD & CHIMNEY, Push Button","['CATAGORY :  Direct', 'LAYOUT :  HOOD', 'BODY :  MS', 'SIZE :  75 Cm', 'Voltage (V) :  AC220-240V', 'Frequency (Hz) :  50Hz', 'Rated Motor Power (W) :  2 X 180W', 'Illumination type :  LED', 'Illumination Power :  2 X Max 1.5W', 'Auto Clean type :  DRY, 3rd Generation', 'Autoclean Power(W) :  50 W', 'Total Power ( W ) :  233 W', 'SUCTION ( m3/h ) :  1100±50 M³/hr', 'Noise Level ( dBA) :  59 Db', 'Speeds :  3', 'Switch Control :  Push Button', 'Recycling :  NO', 'Outlet Diameter (mm) :  150mm', 'Unit Dimension(mm) :  L 750 x W 445 x H 542']","['Suction Capacity : 1100', 'Size : 75 cm']",[],[],[],[],['https://www.kutchina.com/wp-content/uploads/2021/11/BRIO-75-PREMIUM.jpg']
https://www.kutchina.com/product/brio-90-premium/,Brio 90 Premium Hood Kitchen Chimney,,,,KITCHEN HOOD & CHIMNEY,[],"['Suction Capacity : 1100', 'Size : 90 cm']",[],[],[],[],"['https://www.kutchina.com/wp-content/uploads/2021/01/pro-1-2.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/01/pro-2-1.jpg']"
