Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/essa-excel/,ESSA EXCEL Straight Line Kitchen Chimney,,"Size:60 cm (2-4 burner stove for wall mounted chimneys) Wall Mounted, Hood Chimney  Appropriate for medium size kitchen which is bit spacious & using 3 or 4 burner gas stove  Filterless technology for 100% oil suction. It draws in the unhealthy smoke and oil completely and prevents the droplets of oil from dripping on your food | Suction Capacity : 700 ± 50 m3/hr (For heavy frying/grilling)  Enjoy peaceful cooking with kutchina no noise technology.  Added Installation Kit – Hanging Clamp, 1 Duct Pipe, Holder of Vane Pipe, Instructions Manual, Warranty Card, Oil Collector",FGCH60BK0108,"Kitchen Chimney, Straight Line Chimney",['Coming Soon'],"['Size: :  60cm', 'Suction: :  800 m3/hr', 'Warranty: :  Life time warranty on motor', 'Motors: :  100% copper buinding motors', 'Filter type: :  Filterlesss Technology for greater suction capacity', 'Key Points: :  3rd generation Dry Auto-Clean', '*Note : T&C Apply- 1 year warranty on products']","['LAYOUT: :  Straight (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W495 X H135mm']","['Finish :  : White', 'Size :  : 60cm', 'Suction :  : 800 m3/hr', 'Auto-Clean Type :  : 3rd generation Dry Auto-Clean', 'Switch Control: : Push Button', 'No of speed control :  : 2', 'Filter type :  : Filterlesss', 'Illumination Type :  : LED', 'Voltage / Freequency :  : AC 220-240 V', 'Noise Level :  : 52Db', 'Duct Diameter :  : 150 mm', 'Key Points :  :  3rd generation Dry Auto-Clean / life time warranty on motor / 1 year Warranty on Product', 'Product Dimension :  : L 600 x W 495 x H 135', 'Gross Weight :  : 9.0 Kg', 'Net weight (kg) :  : 7.6 Kg', 'HSN code :  : 8414', 'Packaging dimension :  : L660 X W190 X H550']","['Layout: Straight (2 ft)', 'Suction(m3/h): 800±50m³/Hr', 'Auto Clean type: DRY, 3rd Generation']",['Voltage(V): AC220-240V Rated Motor Power(W): 2 X 120W'],"['https://www.kutchina.com/wp-content/uploads/2020/06/1.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/06/5.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/06/3.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/06/4.jpg', 'https://www.kutchina.com/wp-content/uploads/2020/06/2.jpg']"
https://www.kutchina.com/product/evo/,EVO Straight Line Kitchen Chimney,"₹8,900.00",,FGCH60BK0103,"Kitchen Chimney, Straight Line Chimney",['Coming Soon'],[],"['LAYOUT: :  Straight (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W480 X H85mm']","['Finish :  : Black', 'Size :  : 60cm', 'Suction :  : 700 m3/hr', 'Auto-Clean Type :  : 3rd generation Dry Auto-Clean', 'Switch Control: : Push Button', 'No of speed control :  : 2', 'Filter type :  : Filterlesss', 'Illumination Type :  : Incandescent Lamp', 'Voltage / Freequency :  : AC 220-240 V', 'Noise Level :  : 52Db', 'Duct Diameter :  : 150 mm', 'Key Points :  :  3rd generation Dry Auto-Clean / life time warranty on motor / 1 year Warranty on Product', 'Product Dimension :  : L660 X W162 X H540mm', 'Gross Weight :  : 8.5 Kg', 'Net weight (kg) :  : 7.0 Kg', 'HSN code :  : 8414']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']",['Voltage(V): AC220-240VRated Motor Power(W): 2 X 100W'],"['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_EVO.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/2-15.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/3-12.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/4-12.jpg', 'https://www.kutchina.com/wp-content/uploads/2015/10/5-8.jpg']"
https://www.kutchina.com/product/leo-premium/,LEO PREMIUM Straight Line Kitchen Chimney,,,,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 800', 'Size : 60 cm']","['LAYOUT: :  STRAIGHT (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W500 X H140mm']","['Illumination type: :  Incandescent Lamp', 'Illumination Power: :  1 X max 40W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  100 W', 'Total Power(W): :  240 W', 'SUCTION(m3/h): :  800±50m³/Hr', 'Noise Level(dBA): :  52 dB', 'Speed Control: :  2', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 50W']",['https://www.kutchina.com/wp-content/uploads/2020/06/LEO-PREMIUM-1.png']
https://www.kutchina.com/product/opul/,OPUL Straight Line Kitchen Chimney,,,FGCH60BK0006,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 800', 'Size : 60 cm']","['LAYOUT: :  STRAIGHT (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W500 X H140mm']","['Illumination type: :  Incandescent Lamp', 'Illumination Power: :  2 X max 40W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  100 W', 'Total Power(W): :  240 W', 'SUCTION(m3/h): :  800±50m³/Hr', 'Noise Level(dBA): :  52 dB', 'Speed Control: :  2', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 50W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_Opul.jpg']
https://www.kutchina.com/product/slimo-excel/,SLIMO EXCEL Straight Line Kitchen Chimney,,Size: 60 cm (2-4 burner stove for wall mounted chimneys) Straight line chimney  Best Fit: Appropriate for small to medium kitchen with 2 burner gas stove  Technology: Filterless technology for 100% oil suction. It draws in the unhealthy smoke and oil completely and prevents the droplets of oil from dripping on your food | Suction Capacity : 700 ± 50 m3/hr (For heavy frying/grilling)  its 3rd Gen dry Auto clean function makes the chimney cleaning with just ” ONE TOUCH”  1 yr warranty on product and Lifetime warranty on product,FGCH01RT0001,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 700', 'Size : 60 cm']","['LAYOUT: :  STRAIGHT (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W480 X H85mm']","['Illumination type: :  Incandescent Lamp', 'Illumination Power: :  1 X max 25W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  80 W', 'Total Power(W): :  305 W', 'SUCTION(m3/h): :  700±50m³/Hr', 'Noise Level(dBA): :  52 dB', 'Speed Control: :  2', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 100W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_SLIMO-EXCEL.jpg']
https://www.kutchina.com/product/slimo/,SLIMO Straight Line Kitchen Chimney,,"Size:60 cm (2-4 burner stove for wall mounted chimneys) Wall Mounted, Hood Chimney  Appropriate for medium size kitchen which is bit spacious & using 3 or 4 burner gas stove  Filterless technology for 100% oil suction. It draws in the unhealthy smoke and oil completely and prevents the droplets of oil from dripping on your food | Suction Capacity : 700 ± 50 m3/hr (For heavy frying/grilling)  Enjoy peaceful cooking with Kutchina no noise technology.  You can have Free Installation Kit – Hanging Clamp, 1 Duct Pipe, Holder of Vane Pipe, Instructions Manual, Warranty Card, Oil Collector",,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 700', 'Size : 60 cm']","['LAYOUT: :  STRAIGHT (2 ft)', 'BODY: :  MS', 'SIZE: :  60 Cm', 'Unit Dimension(mm): :  L600 X W480 X H85mm']","['Illumination type: :  Incandescent Lamp', 'Illumination Power: :  1 X max 25W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  80 W', 'Total Power(W): :  305 W', 'SUCTION(m3/h): :  700±50m³/Hr', 'Noise Level(dBA): :  52 dB', 'Speed Control: :  2', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 100W']",['https://www.kutchina.com/wp-content/uploads/2020/06/SLIMO-1.png']
https://www.kutchina.com/product/smartec-premium/,SMARTEC PREMIUM Straight Line Kitchen Chimney,,,,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 1250', 'Size : 75 cm']","['LAYOUT: :  STRAIGHT (2.5 ft)', 'BODY: :  MS', 'SIZE: :  75 Cm', 'Unit Dimension(mm): :  L760 X W560 X H180mm']","['Illumination type: :  LED Lamp', 'Illumination Power: :  2 X max 2W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  160 W', 'Total Power(W): :  304 W', 'SUCTION(m3/h): :  1250±50m³/Hr', 'Noise Level(dBA): :  56 dB', 'Speed Control: :  3', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 70W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Smartec-PREMIUM.png']
https://www.kutchina.com/product/stanza-excel-2/,STANZA EXCEL BK Straight Line Kitchen Chimney,,,,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 1200', 'Size : 75 cm']","['LAYOUT: :  STRAIGHT (2.5 ft)', 'BODY: :  SS', 'SIZE: :  75 Cm', 'Unit Dimension(mm): :  L760 X W530 X H145mm']","['Illumination type: :  Incandescent Lamp', 'Illumination Power: :  2 X max 20W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  160 W', 'Total Power(W): :  340 W', 'SUCTION(m3/h): :  1200±50m³/Hr', 'Noise Level(dBA): :  56 dB', 'Speed Control: :  3', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 70W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_Stanza.jpg']
https://www.kutchina.com/product/stanza-excel-ss/,STANZA EXCEL SS Straight Line Kitchen Chimney,,,,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 1200', 'Size : 75 cm']","['LAYOUT: :  STRAIGHT (2.5 ft)', 'BODY: :  SS', 'SIZE: :  75 Cm', 'Unit Dimension(mm): :  L760 X W530 X H145mm']","['Illumination type: :  Incandescent Lamp', 'Illumination Power: :  2 X max 20W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  160 W', 'Total Power(W): :  340 W', 'SUCTION(m3/h): :  1200±50m³/Hr', 'Noise Level(dBA): :  56 dB', 'Speed Control: :  3', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 70W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_Stanza.jpg']
https://www.kutchina.com/product/stanza-excel/,STANZA EXCEL WH Straight Line Kitchen Chimney,,,FGCH01RT0003,"Kitchen Chimney, Straight Line Chimney",[],"['Suction Capacity : 1200', 'Size : 75 cm']","['LAYOUT: :  STRAIGHT (2.5 ft)', 'BODY: :  MS', 'SIZE: :  75 Cm', 'Unit Dimension(mm): :  L760 X W530 X H145mm']","['Illumination type: :  Incandescent Lamp', 'Illumination Power: :  2 X max 20W', 'Auto Clean type: :  DRY, 3rd Generation', 'Autoclean Power(W): :  160 W', 'Total Power(W): :  340 W', 'SUCTION(m3/h): :  1200±50m³/Hr', 'Noise Level(dBA): :  56 dB', 'Speed Control: :  3', 'Switch Control: :  Push Button', 'Outlet Diameter(mm): :  150mm']","['Filter Less for great suction', '100% Copper Winding', 'Motor: Lifetime Warranty', 'Auto Clean type: DRY, 3rd Generation']","['Voltage(V): :  AC220-240V', 'Rated Motor Power(W): :  2 X 70W']",['https://www.kutchina.com/wp-content/uploads/2020/06/Chimeny_Stanza-2.jpg']
