Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/flamma-3b-eco-60/,Fiamma 3B Eco 60,,"Presenting Flamma 3B Eco 60, a perfect companion for modern home chefs. The joy of cooking is intensified with innovative hobs of 600 X 520 X 130 mm product dimensions. Three elegant brass burners are placed aesthetically and innovatively to optimise space for cooking. Ring burners made of black coated brass, aluminium spreader and metallic knob ensure the hob performs effectively for a long time. The gross weight of the Flamma 3B Eco 60 is 11 kgs. The scratch proof drip tray ensures your cooktop is spotless and clean. The dual ring burner perfected to withstand 2800 Pa LPG supply promises high energy efficiency. The body finish, achieved with 8 mm tempered glass provides an ever new look for your hob.Other major specifications of Flamma 3B Eco 60 are burner power of 3.3 kW, pan support type of cast iron with matt finish, multiflame burners and black powder coating for the bottom of hobs. Flamma 3B Eco 60 is a must for every modular kitchen.",,Kitchen Hobs,"['BURNER TYPE :  Brass Burner', 'BURNER RING / CAP :  Brass with Black Coating', 'BURNER SPREADER :  Aluminum', 'MULTY FLAME BURNER :  YES', 'MINI MULTY FLAME BURNER :  NO', 'DUAL RING BURNER :  YES', 'BURNER SIZE :  130mm X 1, 70mm X 2', 'BURNER POWER (130mm)(KW) :  3.3 KW', 'BURNER POWER (100mm) (KW) :  NA', 'BURNER POWER (70mm) (KW) :  1.75 KW', 'BURNER POWER (55mm) (KW) :  NA', 'IGNITION (BATTERY 1.5V) :  Pulse Ignition (Common)', 'GAS TYPE :  LPG 2800 Pa', 'FLAME FAILURE DEVICE :  NA', 'GLASS :  8mm Tempered Glass', 'BOTTOM :  Black Powder Coating', 'PAN SUPPORT TYPE :  Cast Iron (Matte finish)', 'DRIP TRAY :  Square (Scratch proof)', 'KNOB :  Metalic', 'GAS INLET :  Rear', 'PRODUCT DIMENSION (WxDxH)(mm) :  600 X 520 X 130mm', 'CUT SIZE (WxD)(mm) :  560 X 480mm', 'N.W. :  10 Kg', 'G.W. :  11 Kg', 'Carton Dimension (L x W x H) :  L650 X W560 X H170mm']",['Size : 60 cm'],[],[],[],[],['https://www.kutchina.com/wp-content/uploads/2015/10/Flamma-3B-Eco-60.jpg']
https://www.kutchina.com/product/flamma-3b-eco-78/,Fiamma 3B Eco 78,,"An ideal component for every contemporary kitchen, we present you Flamma 3B Eco 78. Innovative hobs with product dimensions of 780 X 450 X 130 mm enhance the pleasure of cooking. The three brass burners are arranged in a way that maximise the space available for cooking. The burners are made of black coated brass, the spreader is made of aluminium, and the knob is made of metal. The Flamma 3B Eco 78 has a dry weight of 12 kg. To keep your stove sparkling and clean, use the scratch-proof drip tray. High energy efficiency is promised by the two ring burner, which was designed to tolerate a 2800 Pa LPG supply.The 8 mm tempered glass body finish gives your hob a fresh appearance every time you use it. Flame power of 3.3 kW, cast iron pan support with matt finish, multiflame and micro multiflame burners, black powder coating for the bottom of hobs are other significant characteristics of Flamma 3B Eco 78. Life in a modern kitchen is made beautiful with  Flamma 3B Eco 78.",,Kitchen Hobs,"['BURNER TYPE :  Brass Burner', 'BURNER RING / CAP :  Brass with Black Coating', 'BURNER SPREADER :  Aluminum', 'MULTY FLAME BURNER :  YES', 'MINI MULTY FLAME BURNER :  YES', 'DUAL RING BURNER :  YES', 'BURNER SIZE :  130mm X 1, 100mm X 1, 70mm X 1', 'BURNER POWER (130mm)(KW) :  3.3 KW', 'BURNER POWER (100mm) (KW) :  2.5 KW', 'BURNER POWER (70mm) (KW) :  1.75 KW', 'BURNER POWER (55mm) (KW) :  NA', 'IGNITION (BATTERY 1.5V) :  Pulse Ignition (Common)', 'GAS TYPE :  LPG 2800 Pa', 'FLAME FAILURE DEVICE :  NA', 'GLASS :  8mm Tempered Glass', 'BOTTOM :  Black Powder Coating', 'PAN SUPPORT TYPE :  Cast Iron (Matte finish)', 'DRIP TRAY :  Square (Scratch proof)', 'KNOB :  Metalic', 'GAS INLET :  Rear', 'PRODUCT DIMENSION (WxDxH)(mm) :  780 x 450 x 130mm', 'CUT SIZE (WxD)(mm) :  690 X 405mm', 'N.W. :  11 Kg', 'G.W. :  12 Kg', 'Carton Dimension (L x W x H) :  L840 X W495 X H170mm']",['Size : 78 cm'],[],[],[],[],['https://www.kutchina.com/wp-content/uploads/2015/10/Flamma-3B-Eco-78.jpg']
https://www.kutchina.com/product/flamma-4b-eco-60/,Fiamma 4B Eco 60,,"Presenting innovative hob for those who love to cook extra. Flamma 4B Eco 60 come with brass burners, and burner ring made of brass with black coating. The burner spreader is made of alumnium. These metallic components ensure that the hob lasts for many years. Flamma 4B Eco 60 is designed to work efficiently with 2800 Pa LPG gas. The presence of multi-flame burner, mini multi-flame burner and dual rings ensure you can optimize the level and intensity of flame to save energy and extra heat. A 1.5V battery works on pulse ignition, making it effortless to switch on the hob.Three burners of 100 cm, 70 cm and 55 cm work with 2.5 kW power. The largest burner of 130 mm works with 3.3 kW power, making it possible to boil water in a few seconds. The body is made of tempered glass of 8 mm thickness. The bottom is made of black powdered coating. A square drip tray of scratch free and rear gas inlet ensures Flamma 4B Eco 60 is stylish and clean at the same time. Flamma 48 Eco 60 is suited for modular kitchen catering to the need of a large family.",,Kitchen Hobs,"['BURNER TYPE :  Brass Burner', 'BURNER RING / CAP :  Brass with Black Coating', 'BURNER SPREADER :  Aluminum', 'MULTY FLAME BURNER :  YES', 'MINI MULTY FLAME BURNER :  YES', 'DUAL RING BURNER :  YES', 'BURNER SIZE :  130mm X 1, 100mm X 1, 70mm X 1, 55mm X 1', 'BURNER POWER (130mm)(KW) :  3.3 KW', 'BURNER POWER (100mm) (KW) :  2.5 KW', 'BURNER POWER (70mm) (KW) :  1.75 KW', 'BURNER POWER (55mm) (KW) :  NA', 'IGNITION (BATTERY 1.5V) :  Pulse Ignition (Common)', 'GAS TYPE :  LPG 2800 Pa', 'FLAME FAILURE DEVICE :  NA', 'GLASS :  8mm Tempered Glass', 'BOTTOM :  Black Powder Coating', 'PAN SUPPORT TYPE :  Cast Iron (Matte finish)', 'DRIP TRAY :  Square (Scratch proof)', 'KNOB :  Metalic', 'GAS INLET :  Rear', 'PRODUCT DIMENSION (WxDxH)(mm) :  600 X 520 X 130mm', 'CUT SIZE (WxD)(mm) :  560 X 480mm', 'N.W. :  12 Kg', 'G.W. :  13 Kg', 'Carton Dimension (L x W x H) :  L650 X W565 X H170mm']",['Size : 60 cm'],[],[],[],[],['https://www.kutchina.com/wp-content/uploads/2015/10/Flamma-4B-Eco-60.jpg']
https://www.kutchina.com/product/flamma-4b-eco-78/,Fiamma 4B Eco 78,,"Introducing the futuristic Flamma 4B Eco 78 for the busy kitchen. The hob’s metal parts guarantee that it will survive for a long time. Flamma 4B Eco 78 is optimised for use with 2800 Pa LPG gas by Flamma. To preserve energy and minimise generation of unnecessary extra heat, the multi-flame burner, tiny multi-flame burner, and dual rings are included that can adjust flame intensity. The stylish body design is embodied with black-coated brass burner and brass burner ring. To preserve energy and minimise generation of unnecessary extra heat, the multi-flame burner, tiny multi-flame burner, and dual rings are included that can adjust flame intensity. The stylish body design is embodied with black-coated brass burner and brass burner ring. Pulse ignition makes it simple to turn on the cooktop using a 1.5V battery. Three burners that are 100 cm, 70 cm, and 55 cm in diameter can withstand power capacity of 2.5 kW. It just takes a few seconds for water to boil when using the 3.3 kW burner with a diameter of 130mm. 8 mm thick tempered glass is used to make the whole body of the device. The bottom is coated with a black powder. Flamma 4B Eco 78 has a scratch-free square drip tray and a rear gas intake that make it both elegant and clean. Flamma 4B Eco 78 is ideal for large family that loves to cook more!",,Kitchen Hobs,"['BURNER TYPE :  Brass Burner', 'BURNER RING / CAP :  Brass with Black Coating', 'BURNER SPREADER :  Aluminum', 'MULTY FLAME BURNER :  YES', 'MINI MULTY FLAME BURNER :  YES', 'DUAL RING BURNER :  YES', 'BURNER SIZE :  130mm X 1, 100mm X 1, 70mm X 2', 'BURNER POWER (130mm)(KW) :  3.3 KW', 'BURNER POWER (100mm) (KW) :  2.5 KW', 'BURNER POWER (70mm) (KW) :  1.75 KW', 'BURNER POWER (55mm) (KW) :  NA', 'IGNITION (BATTERY 1.5V) :  Pulse Ignition (Common)', 'GAS TYPE :  LPG 2800 Pa', 'FLAME FAILURE DEVICE :  NA', 'GLASS :  8mm Tempered Glass', 'BOTTOM :  Black Powder Coating', 'PAN SUPPORT TYPE :  Cast Iron (Matte finish)', 'DRIP TRAY :  Square (Scratch proof)', 'KNOB :  Metalic', 'GAS INLET :  Rear', 'PRODUCT DIMENSION (WxDxH)(mm) :  780 x 520 x 130mm', 'CUT SIZE (WxD)(mm) :  720 X 480mm', 'N.W. :  13.5 Kg', 'G.W. :  14.5 Kg', 'Carton Dimension (L x W x H) :  L835 X W550 X H170mm']",['Size : 78 cm'],[],[],[],[],['https://www.kutchina.com/wp-content/uploads/2015/10/Flamma-4B-Eco-78.jpg']
https://www.kutchina.com/product/hb-3b-eco-brs-60/,HB 3B ECO BRS 60,"₹13,990.00","The HB 3B ECO BRS 60 hob by Kutchina comes with 3 burners. The perfectly spaced three brass burners let you place three large pots at the same time. The built-in hob is installed at the same height as the kitchen countertop, giving it a streamlined appearance.The product USPs are:● 8 mm tempered glass● Cast iron pan support● Supports LPG and NG● Pulse ignitionThe hob comes integrated with the auto-ignition feature, eliminating the need for a matchbox or gaslighter to ignite the burners. It comes with an in-built flame failure device. It shuts off the gas supply in case the flame goes off accidentally.",,Kitchen Hobs,"['Number of burners: :  The built-in hob top HB 3B ECO BRS 60 LUXZ by Kutchina is perfect for medium-sized families. It has three very efficient burners that are properly positioned to accommodate three large utensils at once. It saves you time and effort as multiple food items can be prepared at the same time.', 'Material of the burners: :  The brass burners enables even flame distribution for proper cooking. They are long-lasting and durable.', 'Autoignition: :  The auto-ignition system is one of the best features of this hob top. There is no need for a gas lighter or a matchstick. When you turn the appliance’s knob, an electric spark is generated, which ignites the gas in the burner. You can control the flame simply by turning the knob according to your cooking needs.', 'Gas connection: :  Supports both LPG and NG.', 'Built-in safety measures: :  The hob is equipped a flame failure device. In case the flame goes out accidentally, the in-built flame failure device shut off the gas supply, preventing gas from leaking.', 'Heat-resistant glass top: :  The hob’s toughened glass surface is heat and scratch-resistant. The 8 mm thick tempered glass top is not only functional but also adds to the appliance’s visual appeal.', 'Pan support: :  This appliance’s pan supports are sturdy. They keep the utensils in place, preventing spills and splatters.', 'Easy to maintain: :  The Kutchina hob top is easy to maintain. The smooth glass top is designed for easy cleanup. A leaning solution and a damp microfiber cloth are all you need to clean the hob.']","['Size: :  60cm', 'Suction: : 1200 m3/hr']",['SIZE & DIMENSION'],"['BURNER RING / CAP : :  Brass', 'BURNER SPREADER : :  Aluminium', 'BURNER POWER (135mm) / Triple Ring : :  3.5 KW', 'BURNER POWER (100mm) / Triple Ring : :  NA', 'BURNER POWER (68mm) / Dual Ring : :  1.5 + 1.5 KW', 'BURNER POWER (55mm) / Single Ring : :  NA', 'IGNITION (BATTERY 1.5V) : :  Pulse Ignition', 'GAS TYPE : :  LPG 2800 Pa', 'GLASS : :  8mm Tempered Glass', 'PAN SUPPORT TYPE : :  Cast Iron (Matte finish)', 'PRODUCT DIMENSION (WxDxH)(mm) : :  595*525*130', 'CUT SIZE (WxD)(mm) : :  555*475', 'Key Points : :  Flame failure device / Brass burners / Compatible with both LPG & NG / Metallic knobs / Protective Metal Border', 'HSN CODE : :  7321', 'Packaging dimension : :  600*535*140']",['Product USP'],['Power Consumption'],"['https://www.kutchina.com/wp-content/uploads/2015/10/HB-3B-ECO-BRS-60.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/2-3.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/3-4.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/4-4.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/5-4.jpg']"
https://www.kutchina.com/product/hb-3b-eco-brs-78/,HB 3B ECO BRS 78,"₹14,600.00","Kutchina’s HB 3B ECO BRS 78 hob top is perfect for Indian kitchens. Equipped with 3 distinct size burners, the hob helps to meet your varied cooking needs. For time-starved homemakers, this hob top is ideal as three dishes can be prepared on this hob at one go.The product USPs are:● Safety features such as flame failure device● Cast iron pan support type● Brass burners● Compatible with both NG & LPG● Pulse ignitionThe built-in hob top is precisely fitted at the same height as the kitchen slab, giving the space an organised look. The hob has durable heavy-duty brass burners that offer even flame. The tempered glass top of this hob will surely blend with all types of kitchen décor.",,Kitchen Hobs,"['Number of burners: :  The Kutchina HB 3B ECO BRS 78 built-in hob top is ideal for medium-sized families. The three burners allow you to prepare three dishes at the same time, saving you time. Besides, the burners are sufficiently spaced, which allows you to place three large pots and pans at the same time.', 'Material of the burners: :  The long-lasting brass burners offer even flame each time you cook.', 'Auto ignition: :  You won’t have to waste time looking for a matchbox or a gas lighter as this hob top comes with an auto or pulse ignition system that works using a battery. To ignite the gas in the burner, simply turn the knob.', 'Gas connection: :  Compatible with both NG & LPG.', 'Built-in safety measures: :  If the flame goes out for some reason, the in-built flame failure device will shut off the gas supply. This will prevent gas leakage.', 'Heat-resistant glass top: :  The 8 mm thick tempered glass top is made of high-quality glass and is aesthetically attractive. It is both heat and scratch-resistant.', 'Pan support: :  This hob top’s burners come with sturdy pan supports that keep the cookware from wobbling.', 'Easy to maintain: :  The spill-proof design of the hob top makes it easy to clean and maintain. The burners come with drip trays that catch spills and splatters. This makes sure that your kitchen countertop is not messy after cooking. The trays can be easily cleaned with a damp cloth.']","['Size: :  75cm', 'Suction: : 1200 m3/hr']","['Size: :  75cm', 'Suction: :  1200 m3/hr', 'Product Dimension: :  750 x 500 x 620 mm']","['BURNER RING / CAP : :  Brass', 'BURNER SPREADER : :  Aluminium', 'BURNER POWER (135mm) / Triple Ring : :  3.5 KW', 'BURNER POWER (100mm) / Triple Ring : :  2.5 KW', 'BURNER POWER (68mm) / Dual Ring : :  1.5 KW', 'BURNER POWER (55mm) / Single Ring : :  NA', 'IGNITION (BATTERY 1.5V) : :  Pulse Ignition', 'GAS TYPE : :  LPG 2800 Pa', 'GLASS : :  8mm Tempered Glass', 'PAN SUPPORT TYPE : :  Cast Iron (Matte finish)', 'PRODUCT DIMENSION (WxDxH)(mm) : :  780*450*130', 'CUT SIZE (WxD)(mm) : :  685*405', 'Key Points : :  Flame failure device / Brass burners / Compatible with both LPG & NG / Metallic knobs / Protective Metal Border', 'HSN CODE : :  7321', 'Packaging dimension : :  800*500*140']","['Auto-Clean Type: grd gen dry Auto clean', 'Switch Control:Touch control with wave sensor technology', 'Illumination Type: LED', 'Filter type: Filterless', 'Key Points: Multi Speed Wave Sensor / 3rd generation Dry Auto-Clean / Touch Interface / life time warranty on motor / 1 year Warranty on Product']",['Voltage / Freequency: :  220 / 240 V – 50 Hz'],"['https://www.kutchina.com/wp-content/uploads/2015/10/HB-3B-ECO-BRS-78.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/2-2.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/3-3.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/4-3.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/5-3.jpg']"
https://www.kutchina.com/product/hb-3b-luxz-90-bk/,HB 3B LUXZ 90 BK,,Material: 8 mm Tempered Glass  Dimensions: 900 X 520 X 130 mm / Hobs Cut size – 825*475 (WxD mm)  Brass Burner with Multi Flame Burner  Mechanical Timer with Flame failure safety device  It has the Flexibility for both LPG and NG,,"Kitchen Hobs, Large Appliances",[],['Product Category : Hobs'],[],"['BURNER POWER (135mm)(KW): 3.5 KW', 'BURNER POWER (55mm) (KW): 1.0 KW', 'IGNITION (BATTERY 1.5V): Pulse Ignition (Separate)', 'GAS TYPE: LPG 2800 Pa', 'FLAME FAILURE DEVICE: Yes', 'GLASS: 8mm Tempered Glass', 'BOTTOM: Black Powder Coating', 'PAN SUPPORT TYPE: Enamel', 'DRIP TRAY: Square', 'KNOB: Metalic', 'GAS INLET: Rear']","['Aesthetic Designs', 'Brass Barner & Metallic Knobs', 'Built In Safety measures', 'Flexible use for both NG and LPG', 'CE Certification']",[],['https://www.kutchina.com/wp-content/uploads/2020/06/HB-3B-LUXZ-90.png']
https://www.kutchina.com/product/hb-4b-eco-brs-60/,HB 4B ECO BRS 60,,"Transform the way you cook with Kutchina HB 4B ECO BRS 78 in your kitchen. This compact and elegantly designed gas hob has attractive features and impressive performance. The built-in hob top comes with four highly efficient brass burners, making it suitable for family daily use. Built to last, the 8 mm thick tempered glass top is strong and scratch-resistant. The auto-ignition feature of the hob top eliminates the need for a lighter or matchbox. It comes with sturdy cast iron pan supports to balance large utensils. Ideal for Indian cooking, this built-in hob has sufficient space between the burners, allowing you to place large utensils. The flame failure device makes it safe.Product USPs:● Auto-ignition feature● Brass burners● Aesthetic designs● Metallic knobs● Flame failure device● Flexible use for both NG and LPG",,Kitchen Hobs,"['● Number of burners: This Kutchina hob top is ideal for daily family use. The built-in gas hob comes with 4 burners, making it ideal for medium to large-sized families. There are different burner sizes, you can simmer, boil and fry easily.', '● Material of the burners: The gas hob is equipped with brass burners that can serve you for years. The burners have sufficient space among them so that you can cook on all the burners at the same time. The burner is designed in such a way that you get higher thermal efficiency for better cooking.', '● Autoignition: Autoignition gives the users the convenience of igniting the burners without the hassle of using a lighter or matchstick.', '● Gas connection: Supports LPG and NG. To change the setup from LPG to NG, all you have to do is change the nozzle.', '● Aesthetics: Made using an 8mm toughened glass top is stylish and will complement both modular and contemporary-themed kitchen. It blends seamlessly with any kitchen interior.', '● Heat-resistant glass top: The high-quality glass top of this hob ensures durability and is resistant to heat so you can have a great cooking experience. The glass top makes it easy to clean and maintain.', '● Pan support: Made of cast iron, the pan supports are strong enough to accommodate large and heavy vessels. These sturdy pan supports also ensure there are fewer spills because of wobbly utensils.', '● Easy to maintain: The beautifully crafted gas hob is designed for easy clean-up and maintenance. The 8mm glass top is not just scratch, stain and impact-resistant, but also easy to clean. The pan supports are sturdy so that there fewer spills. The attached drip trays make it easy to clean if there are spills.']","['Size: :  75cm', 'Suction: : 1200 m3/hr']","['Size: :  75cm', 'Suction: :  1200 m3/hr', 'Product Dimension: :  750 x 500 x 620 mm']","['BURNER RING / CAP : :  Brass', 'BURNER SPREADER : :  Aluminium', 'BURNER POWER (135mm) / Triple Ring : :  3.5 KW', 'BURNER POWER (100mm) / Triple Ring : :  2.5 KW', 'BURNER POWER (68mm) / Dual Ring : :  1.5 KW', 'BURNER POWER (55mm) / Single Ring : :  1.0 KW', 'IGNITION (BATTERY 1.5V) : :  Pulse Ignition', 'GAS TYPE : :  LPG 2800 Pa', 'GLASS : :  8mm Tempered Glass', 'PAN SUPPORT TYPE : :  Cast Iron (Matte finish)', 'PRODUCT DIMENSION (WxDxH)(mm) : :  595*525*130', 'CUT SIZE (WxD)(mm) : :  555*475', 'Key Points : :  Brass burners / Compatible with both LPG & NG / Metallic knobs', 'HSN CODE : :  7321', 'Packaging dimension : :  600*535*140']","['Auto-Clean Type: grd gen dry Auto clean', 'Switch Control:Touch control with wave sensor technology', 'Illumination Type: LED', 'Filter type: Filterless', 'Key Points: Multi Speed Wave Sensor / 3rd generation Dry Auto-Clean / Touch Interface / life time warranty on motor / 1 year Warranty on Product']",['Voltage / Freequency: :  220 / 240 V – 50 Hz'],"['https://www.kutchina.com/wp-content/uploads/2015/10/HB-4B-ECO-BRS-60.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/5-2.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/4-2.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/3-2.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/2-1.jpg']"
https://www.kutchina.com/product/hb-4b-eco-brs-78/,HB 4B ECO BRS 78,"₹18,990.00","Designed for the modern home, Kutchina HB 4B ECO BRS 78 is engineered to provide you with a pleasant cooking experience. Autoignition allows fast start-up. Just turn the knob around and burners will lit up. It comes with four brass burners that are designed to ensure even flame. The cast iron pan supports are sturdy enough to support large utensils. The appliance is installed at the same height as the kitchen counter to give a tidy look. The gas hob has a classic design with 8mm thickness tempered glass for effortless cleaning.Product USPs:● Auto-ignition feature● Brass burners● Aesthetic designs● Metallic knobs● Flexible use for both NG and LPG",,Kitchen Hobs,"['● Number of burners: Kutchina HB 4B ECO BRS 78 is equipped with 4 distinct sized burners for your varied cooking needs. The high-quality brass burners offer a good cooking experience with even flames.', '● Material of the burners: To offer durability and reliability, the burners of this Kutchina gas hob are made of high-quality brass. The burners are perfectly designed to ensure even distribution of heat. The burners are sufficiently spaced so that large and medium cooking utensils can be placed without any hassles.', '● Autoignition: When you turn the knob around, an automatic spark is triggered which ignites the burners. This eliminates the hassle of using a lighter or matchstick.', '● Gas connection: Supports LPG and NG. this Kutchina gas is compatible with LPG to NG. To change the setup, just change the nozzle.', '● Aesthetics: Crafted using tempered glass top which not only makes it durable and long-lasting but also lends a classy appearance. The gas hob is designed to blend well with modern kitchens as well as contemporary kitchens.', '● Heat-resistant glass top: The 8mm tempered glass top will not only impress you with its looks but will also surprise you with its sturdiness.', '● The hob burner comes with a black 8 mm tempered glass which gives the appliance a sleek and sophisticated look. The high-quality glass top is heat and scratch-resistant. It can withstand high temperatures.']","['Size: :  75cm', 'Suction: : 1200 m3/hr']","['Size: :  75cm', 'Suction: :  1200 m3/hr', 'Product Dimension: :  750 x 500 x 620 mm']","['BURNER RING / CAP : :  Brass', 'BURNER SPREADER : :  Aluminium', 'BURNER POWER (135mm) / Triple Ring : :  3.5 KW', 'BURNER POWER (100mm) / Triple Ring : :  2.5 KW', 'BURNER POWER (68mm) / Dual Ring : :  1.5 + 1.5 KW', 'BURNER POWER (55mm) / Single Ring : :  NA', 'IGNITION (BATTERY 1.5V) : :  Pulse Ignition', 'GAS TYPE : :  LPG 2800 Pa', 'GLASS : :  8mm Tempered Glass', 'PAN SUPPORT TYPE : :  Cast Iron (Matte finish)', 'PRODUCT DIMENSION (WxDxH)(mm) : :  800*525*145', 'CUT SIZE (WxD)(mm) : :  705*475', 'Key Points : :  Brass burners / Compatible with both LPG & NG / Metallic knobs', 'HSN CODE : :  7321', 'Packaging dimension : :  820*535*150']","['Auto-Clean Type: grd gen dry Auto clean', 'Switch Control:Touch control with wave sensor technology', 'Illumination Type: LED', 'Filter type: Filterless', 'Key Points: Multi Speed Wave Sensor / 3rd generation Dry Auto-Clean / Touch Interface / life time warranty on motor / 1 year Warranty on Product']",['Voltage / Freequency: :  220 / 240 V – 50 Hz'],"['https://www.kutchina.com/wp-content/uploads/2021/05/HB-4B-ECO-BRS-78.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/6.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/5-1.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/4-1.jpg', 'https://www.kutchina.com/wp-content/uploads/2021/05/3-1.jpg']"
https://www.kutchina.com/product/mabela-3bt-60-luxz/,MABELA 3BT 60 LUXZ,,"The Kutchina Mabela 3BT 60 LUXZ built-in hob top comes with three highly efficient brass burners that help in cooking a variety of dishes simultaneously. The gas pipes and electrical wires are concealed, thereby giving a neat look to your kitchen. The brass burners enable faster cooking and even distribution of heat. The high-quality metallic knobs are ergonomic. The pulse ignition feature of the hob top eliminates the need for a gaslighter or matchbox. It comes with cast iron pan supports to balance large kitchen cookware. Perfect for Indian cooking, this built-in hob has enough space between the burners, thereby allowing you to place large utensils. The sleek design and 8 mm thick tempered glass top add to the style quotient of the appliance. The in-built safety features like the flame failure device make it apt for every household.",FGHB01RT0009,"Kitchen Hobs, Large Appliances","['Number of burners: The Kutchina Mabela 3BT 60 LUXZ built-in hob top is an ideal choice for medium-sized families. It comes with three highly efficient burners spaced perfectly enough for you to place three large utensils at the same time. It saves you time and effort as you can cook three delicious meals simultaneously.', 'Material of the burners: The burners are made of brass, which allows even distribution of the heat and flame. They are durable and reliable.', 'Autoignition: The best part of the hob top is the auto-ignition system. You don’t need any gas lighter or matchstick. When you turn the knob of the appliance, it triggers an electric spark to ignite the gas in the burner. You can adjust the flame just by turning the knob as per your cooking requirements.', 'Gas connection: Supports LPG and NG.', 'Built-in safety measures: The hob has built-in safety measures that provide you with a better cooking experience. It comes with built-in safety measures like the flame failure device. It prevents leakage of gas when the flame goes off by turning off the gas supply.\xa0', 'Heat-resistant glass top: The toughened glass top of the gas hob is heat and scratch-resistant, thereby making your appliance a delight to work on. The 8 mm thick tempered glass top is not just efficient but also it enhances the aesthetic appeal of the appliance.\xa0', 'Pan support: The pan supports of this appliance are sturdy enough to make your culinary experience hassle-free. They provide stability to the utensils and reduce spills and splatters. It prevents the cookware from tripping over while cooking.', 'Easy to maintain: The Kutchina hob top provides you with long-term performance and it is easy to maintain. Besides, the smooth glass top is very easy to clean. For that, you just need a cleaning agent and a damp microfibre cloth. The ergonomic knobs also allow easy cleaning.\xa0']","['Number Of Burners : 3', 'Size : 60 cm']","['BURNER SIZE: 135mm X 1, 68mm X 2', 'PRODUCT DIMENSION (WxDxH)(mm): 595 X 525 X 130mm', 'CUT SIZE (WxD)(mm): 555 X 475mm']","['BURNER POWER (135mm)(KW): 3.5 KW', 'BURNER POWER (68mm) (KW): 1.5 KW', 'IGNITION (BATTERY 1.5V): Pulse Ignition', 'GAS TYPE: LPG 2800 Pa', 'FLAME FAILURE DEVICE: YES', 'GLASS: 8mm Tempered Glass', 'BOTTOM: Black Powder Coating', 'PAN SUPPORT TYPE: Cast Iron (Matte finish)', 'DRIP TRAY: Square (Scratch proof)', 'KNOB: Metalic', 'GAS INLET: Rear']","['Aesthetic Designs', 'Brass Barner & Metallic Knobs', 'Built In Safety measures', 'Flexible use for both NG and LPG', 'CE Certification']",[],['https://www.kutchina.com/wp-content/uploads/2020/06/HOBS_MABELA-3BT-60-LUXZ-600x600-1.jpg']
