Url,Name,Price,Short description,Code,Category,Description,Additional Information ,Size,Technical specification,USP,Power,Image links
https://www.kutchina.com/product/benito-excel-2b-auto/,BENITO EXCEL 2B (Auto),,Burner Brass burnerBurnr Size 69/79Ignition Type AUTO / NON AUTOGas type LPG 2800Pa LPGGlass 6mm tempered glassFrame body SSPan Support Thick (Euro Coated)Drip Tray SSKnob & knob Base ABS/ NylonGlass size 600 x 320PRODUCT DIAMENSION (L x W x H) 600 X 320 X 135mmKey Features “Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)“,,"Cooktops, Small Appliances",[],['No of burners : 2 Burners'],[],"['Burner :-  :  Brass burner', 'Burnr Size :-  : 69/79', 'Ignition Type :-  : AUTO / NON AUTO', 'Gas type :-  :  LPG 2800Pa LPG', 'Glass :-  : \xa06mm tempered\xa0 glass', 'Frame body :-  : \xa0SS', 'Pan Support :-  : Thick (Euro Coated)', 'Drip Tray :-  : \xa0SS', 'Knob & knob Base :-  : \xa0ABS/ Nylon', 'Glass size :-  : \xa0600 x 320', 'PRODUCT DIAMENSION (L x W x H) :-  :  \xa0600 X 320 X 135mm', 'Key Features :-  :  Brass Burner / Thick pan support / Single joint frame / On Glass Warranty (5 Years*) / On Valve Warranty (5 Years*) / Tempered Glass (6 mm)']",[],[],['https://www.kutchina.com/wp-content/uploads/2021/01/Benito2b.jpg']
https://www.kutchina.com/product/benito-excel-2b/,BENITO EXCEL 2B(Non Auto),,Burner Brass burnerBurnr Size 69/79Ignition Type AUTO / NON AUTOGas type LPG 2800Pa LPGGlass 6mm tempered glassFrame body SSPan Support Thick (Euro Coated)Drip Tray SSKnob & knob Base ABS/ NylonGlass size 600 x 320PRODUCT DIAMENSION (L x W x H) 600 X 320 X 135mmKey Features “Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)“,,"Cooktops, Small Appliances",[],['No of burners : 2 Burners'],[],"['Burner :-  :  Brass burner', 'Burnr Size :-  : 69/79', 'Ignition Type :-  : AUTO / NON AUTO', 'Gas type :-  :  LPG 2800Pa LPG', 'Glass :-  : \xa06mm tempered\xa0 glass', 'Frame body :-  : \xa0SS', 'Pan Support :-  : Thick (Euro Coated)', 'Drip Tray :-  : \xa0SS', 'Knob & knob Base :-  : \xa0ABS/ Nylon', 'Glass size :-  : \xa0600 x 320', 'PRODUCT DIAMENSION (L x W x H) :-  :  \xa0600 X 320 X 135mm', 'Key Features :-  :  Brass Burner / Thick pan support / Single joint frame / On Glass Warranty (5 Years*) / On Valve Warranty (5 Years*) / Tempered Glass (6 mm)']",[],[],['https://www.kutchina.com/wp-content/uploads/2021/01/Benito2b.jpg']
https://www.kutchina.com/product/benito-excel-3b-auto/,BENITO EXCEL 3B (Auto),,Burner Brass burnerBurnr Size 79/69/92Ignition Type AUTO / NON AUTOGas type LPG 2800Pa LPGGlass 6mm tempered glassFrame body SSPan Support Thick (Euro Coated)Drip Tray SSKnob & knob Base ABS/ NylonGlass size 770 x 380PRODUCT DIAMENSION (L x W x H) 770 X 380 X 135mmKey Features “Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)“,,"Cooktops, Small Appliances",[],['No of burners : 3 Burners'],[],"['Burner : Brass burner', 'Burnr Size : 79/69/92', 'Ignition Type : AUTO / NON AUTO', 'Gas type : LPG 2800Pa', 'Glass : \xa06mm tempered\xa0 glass', 'Frame body : \xa0SS', 'Pan Support : Thick (Euro Coated)', 'Drip Tray : \xa0SS', 'Knob & knob Base : \xa0ABS/ Nylon', 'Glass size : \xa0770 x 380', 'PRODUCT DIAMENSION (L x W x H) : \xa0770 X 380 X 135mm', 'Key Features : Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)']",[],[],['https://www.kutchina.com/wp-content/uploads/2021/01/Benito3b.jpg']
https://www.kutchina.com/product/benito-excel-3b/,BENITO EXCEL 3B(Non Auto),,Burner Brass burnerBurnr Size 79/69/92Ignition Type AUTO / NON AUTOGas type LPG 2800Pa LPGGlass 6mm tempered glassFrame body SSPan Support Thick (Euro Coated)Drip Tray SSKnob & knob Base ABS/ NylonGlass size 770 x 380PRODUCT DIAMENSION (L x W x H) 770 X 380 X 135mmKey Features “Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)“,,"Cooktops, Small Appliances",[],['No of burners : 3 Burners'],[],"['Burner : Brass burner', 'Burnr Size : 79/69/92', 'Ignition Type : AUTO / NON AUTO', 'Gas type : LPG 2800Pa', 'Glass : \xa06mm tempered\xa0 glass', 'Frame body : \xa0SS', 'Pan Support : Thick (Euro Coated)', 'Drip Tray : \xa0SS', 'Knob & knob Base : \xa0ABS/ Nylon', 'Glass size : \xa0770 x 380', 'PRODUCT DIAMENSION (L x W x H) : \xa0770 X 380 X 135mm', 'Key Features : Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)']",[],[],['https://www.kutchina.com/wp-content/uploads/2021/01/Benito3b.jpg']
https://www.kutchina.com/product/benito-excel-4b-auto/,BENITO EXCEL 4B (Auto),,Burner Brass burnerBurnr Size 69/69/79/92Ignition Type AUTO / NON AUTOGas type LPG 2800Pa LPGGlass 6mm tempered glassFrame body SSPan Support Thick (Euro Coated)Drip Tray SSKnob & knob Base ABS/ NylonGlass size 635 x 500PRODUCT DIAMENSION (L x W x H) 635 X 500 X 135mmKey Features “Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)“,,"Cooktops, Small Appliances",[],['No of burners : 4 Burners'],[],"['Burner : Brass burner', 'Burnr Size : 69/69/79/92', 'Ignition Type : AUTO / NON AUTO', 'Gas type : LPG 2800Pa', 'Glass : \xa06mm tempered\xa0 glass', 'Frame body : \xa0SS', 'Pan Support : Thick (Euro Coated)', 'Drip Tray : \xa0SS', 'Knob & knob Base : \xa0ABS/ Nylon', 'Glass size : \xa0635 x 500', 'PRODUCT DIAMENSION (L x W x H) : \xa0635 X 500 X 135mm', 'Key Features : Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/08/2021-01-14-1.png']
https://www.kutchina.com/product/benito-excel-4b/,BENITO EXCEL 4B(Non Auto),,Burner Brass burnerBurnr Size 69/69/79/92Ignition Type AUTO / NON AUTOGas type LPG 2800Pa LPGGlass 6mm tempered glassFrame body SSPan Support Thick (Euro Coated)Drip Tray SSKnob & knob Base ABS/ NylonGlass size 635 x 500PRODUCT DIAMENSION (L x W x H) 635 X 500 X 135mmKey Features “Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)“,,"Cooktops, Small Appliances",[],['No of burners : 4 Burners'],[],"['Burner : Brass burner', 'Burnr Size : 69/69/79/92', 'Ignition Type : AUTO / NON AUTO', 'Gas type : LPG 2800Pa', 'Glass : \xa06mm tempered\xa0 glass', 'Frame body : \xa0SS', 'Pan Support : Thick (Euro Coated)', 'Drip Tray : \xa0SS', 'Knob & knob Base : \xa0ABS/ Nylon', 'Glass size : \xa0635 x 500', 'PRODUCT DIAMENSION (L x W x H) : \xa0635 X 500 X 135mm', 'Key Features : Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/08/2021-01-14-1.png']
https://www.kutchina.com/product/kutchina-inferno-excel-2b-auto/,Kutchina Inferno Excel 2B Auto,,,,Cooktops,[],[],['SIZE & DIMENSION'],"['Burner :-  :  Brass burner', 'Burnr Size :-  : 69/79', 'Ignition Type :-  : AUTO', 'Gas type :- LPG 2800Pa  :  LPG', 'Glass :-  : \xa06mm tempered\xa0 glass', 'Frame body :-  : \xa0SS', 'Pan Support :-  : Thick (Euro Coated)', 'Drip Tray :-  : \xa0SS', 'PRODUCT DIAMENSION (L x W x H) :-  :  \xa0 700 X 420 X 130mm', 'Key Features :-  :  Brass Burner Thick pan support Single joint frame On Glass Warranty (5 Years*) On Valve Warranty (5 Years*) Tempered Glass (6 mm)']",['Product USP'],[],['https://www.kutchina.com/wp-content/uploads/2021/06/Inferno_2B.jpg']
https://www.kutchina.com/product/kutchina-inferno-excel-3b-auto/,Kutchina Inferno Excel 3B Auto,,,,Cooktops,[],[],['SIZE & DIMENSION'],"['Burner :-  :  Brass burner', 'Burnr Size :-  : 79/69/92', 'Ignition Type :-  : AUTO', 'Gas type :- LPG 2800Pa  :  LPG', 'Glass :-  : \xa06mm tempered\xa0 glass', 'Frame body :-  : \xa0SS', 'Pan Support :-  : Thick (Euro Coated)', 'Drip Tray :-  : \xa0SS', 'PRODUCT DIAMENSION (L x W x H) :-  :  \xa0 770 X 445 X 130mm', 'Key Features :-  :  Brass Burner Thick pan support Single joint frame On Glass Warranty (5 Years*) On Valve Warranty (5 Years*) Tempered Glass (6 mm)']",['Product USP'],['Power Consumption'],['https://www.kutchina.com/wp-content/uploads/2021/06/Inferno_3B.jpg']
https://www.kutchina.com/product/kutchina-inferno-excel-4b-auto/,Kutchina Inferno Excel 4B Auto,,,,Cooktops,[],[],['SIZE & DIMENSION'],"['Burner :-  :  Brass burner', 'Burnr Size :-  : 69/69/79/92', 'Ignition Type :-  : AUTO', 'Gas type :- LPG 2800Pa  :  LPG', 'Glass :-  : \xa06mm tempered\xa0 glass', 'Frame body :-  : \xa0SS', 'Pan Support :-  : Thick (Euro Coated)', 'Drip Tray :-  : \xa0SS', 'PRODUCT DIAMENSION (L x W x H) :-  :  \xa0 635 X 500 X 135mm', 'Key Features :-  :  Brass Burner Thick pan support Single joint frame On Glass Warranty (5 Years*) On Valve Warranty (5 Years*) Tempered Glass (6 mm)']",['Product USP'],['Power Consumption'],['https://www.kutchina.com/wp-content/uploads/2021/06/Inferno_4B.jpg']
https://www.kutchina.com/product/sleek-eco-2b/,SLEEK ECO 2B,,Burner Brass burnerBurnr Size 69/79Ignition Type Non AutoGas type LPG 2800Pa LPGGlass 6mm tempered glassFrame body MS BKPan Support Thick (Euro Coated)Drip Tray SSKnob & knob Base ABS/ NylonGlass size 575X290PRODUCT DIAMENSION (L x W x H) 575 X 290 X 135mmKey Features “Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)“,,"Cooktops, Small Appliances",[],['No of burners : 2 Burners'],[],"['Burner : Brass burner', 'Burnr Size : 69/79', 'Ignition Type : Non Auto', 'Gas type : LPG 2800Pa', 'Glass : \xa06mm tempered\xa0 glass', 'Frame body : \xa0MS BK', 'Pan Support : Thick (Euro Coated)', 'Drip Tray : \xa0SS', 'Knob & knob Base : \xa0ABS/ Nylon', 'Glass size : \xa0575X290', 'PRODUCT DIAMENSION (L x W x H) : \xa0575 X 290 X 135mm', 'Key Features : Brass BurnerThick pan supportSingle joint frameOn Glass Warranty (5 Years*)On Valve Warranty (5 Years*)Tempered Glass (6 mm)']",[],[],['https://www.kutchina.com/wp-content/uploads/2020/08/SLEEKECO2B.jpg']
